,initial objective value,initial shared job order,initial schedule,process objective value,process shared job order,process schedule,final objective value,final shared job order,final schedule,time
1,249.55012813063937,"[7, 8, 9, 1, 6, 10, 3, 4, 5, 2]","[[7, 8, 'M', 5, 2], [9, 1, 6, 10, 3, 4, 'M'], ['M', 8, 1, 10, 4, 5, 2], [7, 9, 'M', 6, 3]]",130.2865031126046,"[7, 8, 1, 3, 10, 4, 9, 6, 5, 2]","[[7, 8, 5, 2, 'M'], [1, 3, 10, 4, 9, 6, 'M'], ['M', 8, 1, 10, 4, 5, 2], [7, 3, 'M', 9, 6]]",130.2865031126046,"[7, 8, 1, 3, 10, 4, 9, 6, 5, 2]","[[7, 8, 5, 2, 'M'], [1, 3, 10, 4, 9, 6, 'M'], ['M', 8, 1, 10, 4, 5, 2], [7, 3, 'M', 9, 6]]",0.03101181983947754
2,100.94682330146657,"[10, 5, 2, 7, 6, 8, 4, 3, 9, 1]","[[5, 2, 6, 8, 3, 9, 'M'], [10, 7, 4, 1, 'M'], ['M', 5, 6, 4, 3, 1], [10, 2, 7, 8, 9, 'M']]",82.89478445927918,"[2, 5, 10, 8, 4, 7, 6, 3, 9, 1]","[[2, 5, 8, 6, 3, 9, 'M'], [10, 4, 7, 1, 'M'], ['M', 5, 4, 6, 3, 1], [2, 10, 8, 7, 9, 'M']]",82.89478445927918,"[2, 5, 10, 8, 4, 7, 6, 3, 9, 1]","[[2, 5, 8, 6, 3, 9, 'M'], [10, 4, 7, 1, 'M'], ['M', 5, 4, 6, 3, 1], [2, 10, 8, 7, 9, 'M']]",0.013464212417602539
3,366.82889160583585,"[4, 2, 10, 1, 6, 5, 9, 3, 8, 7]","[['M', 4, 2, 10, 5, 9, 3], [1, 6, 8, 7, 'M'], ['M', 2, 10, 1, 6, 8], [4, 'M', 5, 9, 3, 7]]",191.83782011298263,"[7, 2, 6, 1, 5, 8, 9, 3, 10, 4]","[['M', 2, 5, 9, 3, 10, 4], [7, 6, 1, 8, 'M'], ['M', 2, 6, 1, 8, 10], [7, 5, 9, 3, 4, 'M']]",191.83782011298263,"[7, 2, 6, 1, 5, 8, 9, 3, 10, 4]","[['M', 2, 5, 9, 3, 10, 4], [7, 6, 1, 8, 'M'], ['M', 2, 6, 1, 8, 10], [7, 5, 9, 3, 4, 'M']]",0.02253103256225586
4,343.20369193792544,"[4, 7, 2, 9, 8, 5, 10, 1, 3, 6]","[['M', 4, 7, 2, 8, 5, 10, 1, 3, 6], [9, 'M'], ['M', 4, 2, 8, 10], [7, 9, 5, 1, 3, 6, 'M']]",239.08913499397926,"[9, 4, 3, 2, 7, 1, 6, 5, 8, 10]","[['M', 4, 3, 2, 7, 1, 6, 5, 8, 10], [9, 'M'], ['M', 4, 2, 8, 10], [9, 3, 7, 1, 6, 5, 'M']]",239.08913499397926,"[9, 4, 3, 2, 7, 1, 6, 5, 8, 10]","[['M', 4, 3, 2, 7, 1, 6, 5, 8, 10], [9, 'M'], ['M', 4, 2, 8, 10], [9, 3, 7, 1, 6, 5, 'M']]",0.011053085327148438
5,325.8202839432759,"[1, 4, 5, 6, 8, 3, 10, 2, 7, 9]","[['M', 8, 3, 2, 7, 9], [1, 4, 5, 6, 10, 'M'], ['M', 4, 6, 8, 3, 2], [1, 5, 10, 7, 9, 'M']]",129.4394849191561,"[7, 4, 9, 1, 5, 8, 3, 10, 2, 6]","[[7, 9, 8, 3, 'M', 2], [4, 1, 5, 10, 6, 'M'], [4, 8, 3, 2, 6, 'M'], [7, 9, 1, 5, 10, 'M']]",129.4394849191561,"[7, 4, 9, 1, 5, 8, 3, 10, 2, 6]","[[7, 9, 8, 3, 'M', 2], [4, 1, 5, 10, 6, 'M'], [4, 8, 3, 2, 6, 'M'], [7, 9, 1, 5, 10, 'M']]",0.020236968994140625
6,266.4962958781356,"[3, 8, 10, 5, 7, 2, 6, 4, 1, 9]","[['M'], ['M', 3, 8, 10, 5, 7, 2, 6, 4, 1, 9], ['M', 3, 8, 5, 7, 6, 4, 9], [10, 'M', 2, 1]]",235.6756851799089,"[5, 10, 3, 6, 4, 2, 8, 7, 1, 9]","[['M'], ['M', 5, 10, 3, 6, 4, 2, 8, 7, 1, 9], ['M', 5, 3, 6, 4, 8, 7, 9], [10, 'M', 2, 1]]",235.6756851799089,"[5, 10, 3, 6, 4, 2, 8, 7, 1, 9]","[['M'], ['M', 5, 10, 3, 6, 4, 2, 8, 7, 1, 9], ['M', 5, 3, 6, 4, 8, 7, 9], [10, 'M', 2, 1]]",0.008803844451904297
7,264.2902249871523,"[3, 4, 5, 1, 2, 6, 8, 7, 10, 9]","[[3, 4, 5, 6, 9, 'M'], [1, 'M', 2, 8, 7, 10], ['M', 4, 5, 1, 2, 8, 7], [3, 6, 'M', 10, 9]]",148.01890905027923,"[1, 3, 5, 6, 10, 4, 2, 8, 9, 7]","[[3, 5, 6, 4, 9, 'M'], ['M', 1, 10, 2, 8, 7], ['M', 1, 5, 4, 2, 8, 7], [3, 6, 10, 9, 'M']]",148.01890905027923,"[1, 3, 5, 6, 10, 4, 2, 8, 9, 7]","[[3, 5, 6, 4, 9, 'M'], ['M', 1, 10, 2, 8, 7], ['M', 1, 5, 4, 2, 8, 7], [3, 6, 10, 9, 'M']]",0.024647951126098633
8,271.0967591991197,"[7, 9, 1, 10, 2, 3, 6, 5, 8, 4]","[[7, 1, 10, 2, 'M', 4], [9, 3, 6, 5, 8, 'M'], ['M', 7, 1, 2, 4], ['M', 9, 10, 3, 6, 5, 8]]",104.59322341381187,"[2, 9, 7, 6, 3, 8, 1, 4, 5, 10]","[[2, 7, 1, 4, 'M', 10], [9, 6, 3, 8, 5, 'M'], ['M', 2, 7, 1, 4], ['M', 9, 6, 3, 8, 5, 10]]",104.59322341381187,"[2, 9, 7, 6, 3, 8, 1, 4, 5, 10]","[[2, 7, 1, 4, 'M', 10], [9, 6, 3, 8, 5, 'M'], ['M', 2, 7, 1, 4], ['M', 9, 6, 3, 8, 5, 10]]",0.013915300369262695
9,278.22369000826245,"[9, 2, 6, 8, 10, 1, 4, 7, 5, 3]","[[9, 8, 'M'], [2, 6, 10, 1, 4, 7, 5, 3, 'M'], ['M', 2, 6, 8, 10, 4, 5, 3], [9, 'M', 1, 7]]",167.48424230539095,"[9, 6, 8, 1, 4, 10, 3, 5, 2, 7]","[[9, 8, 'M'], [6, 1, 4, 10, 3, 5, 2, 7, 'M'], ['M', 6, 8, 4, 10, 3, 5, 2], [9, 1, 'M', 7]]",167.48424230539095,"[9, 6, 8, 1, 4, 10, 3, 5, 2, 7]","[[9, 8, 'M'], [6, 1, 4, 10, 3, 5, 2, 7, 'M'], ['M', 6, 8, 4, 10, 3, 5, 2], [9, 1, 'M', 7]]",0.01800394058227539
10,168.9540262059139,"[1, 9, 5, 2, 7, 3, 10, 6, 8, 4]","[[2, 3, 10, 6, 8, 4, 'M'], [1, 9, 5, 7, 'M'], ['M', 9, 2, 7, 6, 8], ['M', 1, 5, 3, 10, 4]]",107.67915111580739,"[1, 2, 5, 8, 7, 3, 4, 9, 10, 6]","[[2, 8, 3, 4, 10, 6, 'M'], [1, 5, 7, 9, 'M'], ['M', 2, 8, 7, 9, 6], ['M', 1, 5, 3, 4, 10]]",107.67915111580739,"[1, 2, 5, 8, 7, 3, 4, 9, 10, 6]","[[2, 8, 3, 4, 10, 6, 'M'], [1, 5, 7, 9, 'M'], ['M', 2, 8, 7, 9, 6], ['M', 1, 5, 3, 4, 10]]",0.013508081436157227
11,233.8053343234374,"[10, 5, 7, 9, 2, 3, 6, 8, 4, 1]","[[7, 9, 3, 6, 1, 'M'], [10, 5, 2, 8, 4, 'M'], ['M', 2, 3, 8, 4, 1], ['M', 10, 5, 7, 9, 6]]",115.2323375096469,"[5, 9, 4, 6, 2, 8, 7, 1, 3, 10]","[[9, 6, 7, 1, 3, 'M'], [5, 4, 2, 8, 10, 'M'], [4, 2, 8, 1, 3, 'M'], [5, 9, 6, 7, 10, 'M']]",115.2323375096469,"[5, 9, 4, 6, 2, 8, 7, 1, 3, 10]","[[9, 6, 7, 1, 3, 'M'], [5, 4, 2, 8, 10, 'M'], [4, 2, 8, 1, 3, 'M'], [5, 9, 6, 7, 10, 'M']]",0.02475714683532715
12,525.5517792798757,"[10, 3, 5, 1, 8, 9, 6, 7, 4, 2]","[['M', 8, 6, 7, 4], ['M', 10, 3, 5, 1, 9, 2], ['M', 5, 7, 2], ['M', 10, 3, 1, 8, 9, 6, 4]]",199.23756777428648,"[6, 10, 9, 5, 4, 8, 2, 7, 3, 1]","[[6, 4, 8, 7, 'M'], [10, 9, 5, 2, 3, 1, 'M'], ['M', 5, 2, 7], ['M', 6, 10, 9, 4, 8, 3, 1]]",199.23756777428648,"[6, 10, 9, 5, 4, 8, 2, 7, 3, 1]","[[6, 4, 8, 7, 'M'], [10, 9, 5, 2, 3, 1, 'M'], ['M', 5, 2, 7], ['M', 6, 10, 9, 4, 8, 3, 1]]",0.032788991928100586
13,157.29706988947493,"[6, 7, 8, 10, 5, 9, 2, 1, 3, 4]","[[6, 8, 10, 2, 3, 4, 'M'], [7, 5, 9, 1, 'M'], [6, 8, 10, 5, 'M', 3, 4], ['M', 7, 9, 2, 1]]",145.58515776128252,"[6, 7, 8, 10, 9, 5, 2, 4, 3, 1]","[[6, 8, 10, 2, 4, 3, 'M'], [7, 9, 5, 1, 'M'], [6, 8, 10, 5, 'M', 4, 3], ['M', 7, 9, 2, 1]]",145.58515776128252,"[6, 7, 8, 10, 9, 5, 2, 4, 3, 1]","[[6, 8, 10, 2, 4, 3, 'M'], [7, 9, 5, 1, 'M'], [6, 8, 10, 5, 'M', 4, 3], ['M', 7, 9, 2, 1]]",0.01031804084777832
