,initial objective value,initial shared job order,initial schedule,process objective value,process shared job order,process schedule,final objective value,final shared job order,final schedule,time
1,134.04835139729175,"[4, 1, 2, 10, 6, 7, 8, 9, 5, 3]","[['M', 1, 2, 10, 7, 8], [4, 6, 9, 5, 3, 'M'], ['M', 4, 6, 8, 9, 3], ['M', 1, 2, 10, 7, 5]]",46.373708442246006,"[4, 1, 2, 10, 6, 7, 8, 9, 5, 3]","[['M', 1, 2, 10, 7, 8], [4, 6, 9, 5, 3, 'M'], ['M', 4, 6, 8, 9, 3], ['M', 1, 2, 10, 7, 5]]",46.373708442246006,"[4, 1, 2, 10, 6, 7, 8, 9, 5, 3]","[['M', 1, 2, 10, 7, 8], [4, 6, 9, 5, 3, 'M'], ['M', 4, 6, 8, 9, 3], ['M', 1, 2, 10, 7, 5]]",38.65227818489075
2,274.4859038385905,"[6, 5, 7, 10, 9, 2, 1, 4, 3, 8]","[['M', 5, 7, 10, 9, 2, 1], ['M', 6, 4, 3, 8], ['M', 6, 7, 10, 4, 8], ['M', 5, 9, 2, 1, 3]]",181.8680240600281,"[6, 5, 7, 10, 9, 2, 1, 4, 3, 8]","[['M', 5, 7, 10, 9, 2, 1], ['M', 6, 4, 3, 8], ['M', 6, 7, 10, 4, 8], ['M', 5, 9, 2, 1, 3]]",181.8680240600281,"[6, 5, 7, 10, 9, 2, 1, 4, 3, 8]","[['M', 5, 7, 10, 9, 2, 1], ['M', 6, 4, 3, 8], ['M', 6, 7, 10, 4, 8], ['M', 5, 9, 2, 1, 3]]",45.20970416069031
3,189.5316741780046,"[5, 1, 2, 7, 3, 6, 4, 10, 9, 8]","[['M', 5, 3, 6, 4, 9, 8], ['M', 1, 2, 7, 10], ['M', 2, 3, 6, 10], ['M', 5, 1, 7, 4, 9, 8]]",58.5476976308967,"[5, 1, 2, 7, 3, 6, 4, 10, 9, 8]","[['M', 5, 3, 6, 4, 9, 8], ['M', 1, 2, 7, 10], ['M', 2, 3, 6, 10], ['M', 5, 1, 7, 4, 9, 8]]",58.5476976308967,"[5, 1, 2, 7, 3, 6, 4, 10, 9, 8]","[['M', 5, 3, 6, 4, 9, 8], ['M', 1, 2, 7, 10], ['M', 2, 3, 6, 10], ['M', 5, 1, 7, 4, 9, 8]]",40.05925130844116
4,172.24462349012455,"[7, 9, 10, 6, 1, 5, 4, 8, 3, 2]","[['M', 7, 9, 10, 6, 8], ['M', 1, 5, 4, 3, 2], ['M', 9, 10, 5, 4, 8, 3], ['M', 7, 6, 1, 2]]",97.66105119990154,"[7, 9, 10, 6, 1, 5, 4, 8, 3, 2]","[['M', 7, 9, 10, 6, 8], ['M', 1, 5, 4, 3, 2], ['M', 9, 10, 5, 4, 8, 3], ['M', 7, 6, 1, 2]]",97.66105119990154,"[7, 9, 10, 6, 1, 5, 4, 8, 3, 2]","[['M', 7, 9, 10, 6, 8], ['M', 1, 5, 4, 3, 2], ['M', 9, 10, 5, 4, 8, 3], ['M', 7, 6, 1, 2]]",56.711488246917725
5,203.15218595227205,"[5, 7, 6, 4, 10, 9, 3, 8, 1, 2]","[['M', 7, 4, 9, 1, 2], ['M', 5, 6, 10, 3, 8], ['M', 4, 10, 9, 1, 2], ['M', 5, 7, 6, 3, 8]]",79.4706518809437,"[5, 7, 6, 4, 10, 9, 3, 8, 1, 2]","[['M', 7, 4, 9, 1, 2], ['M', 5, 6, 10, 3, 8], ['M', 4, 10, 9, 1, 2], ['M', 5, 7, 6, 3, 8]]",79.4706518809437,"[5, 7, 6, 4, 10, 9, 3, 8, 1, 2]","[['M', 7, 4, 9, 1, 2], ['M', 5, 6, 10, 3, 8], ['M', 4, 10, 9, 1, 2], ['M', 5, 7, 6, 3, 8]]",34.4108510017395
6,81.43389341849138,"[9, 10, 1, 2, 3, 4, 7, 5, 6, 8]","[['M', 9, 1, 2, 5, 6], ['M', 10, 3, 4, 7, 8], ['M', 9, 10, 3, 5, 6], ['M', 1, 2, 4, 7, 8]]",66.83219444593814,"[9, 10, 1, 2, 3, 4, 7, 5, 8, 6]","[['M', 9, 1, 2, 5, 6], ['M', 10, 3, 4, 7, 8], ['M', 9, 10, 3, 5, 6], ['M', 1, 2, 4, 7, 8]]",66.83219444593814,"[9, 10, 1, 2, 3, 4, 7, 5, 8, 6]","[['M', 9, 1, 2, 5, 6], ['M', 10, 3, 4, 7, 8], ['M', 9, 10, 3, 5, 6], ['M', 1, 2, 4, 7, 8]]",68.44974517822266
7,138.22291156168995,"[10, 6, 9, 7, 4, 2, 8, 1, 5, 3]","[['M', 6, 4, 2, 1, 3], ['M', 10, 9, 7, 8, 5], ['M', 6, 4, 8, 1, 3], ['M', 10, 9, 7, 2, 5]]",79.28444539487677,"[10, 6, 9, 7, 4, 2, 8, 1, 5, 3]","[['M', 6, 4, 2, 1, 3], ['M', 10, 9, 7, 8, 5], ['M', 6, 4, 8, 1, 3], ['M', 10, 9, 7, 2, 5]]",79.28444539487677,"[10, 6, 9, 7, 4, 2, 8, 1, 5, 3]","[['M', 6, 4, 2, 1, 3], ['M', 10, 9, 7, 8, 5], ['M', 6, 4, 8, 1, 3], ['M', 10, 9, 7, 2, 5]]",34.04641509056091
8,187.09667452338155,"[2, 10, 3, 5, 4, 1, 6, 8, 9, 7]","[['M', 2, 3, 4, 8, 9, 7], ['M', 10, 5, 1, 6], ['M', 2, 4, 6, 8, 9], ['M', 10, 3, 5, 1, 7]]",93.92433183369727,"[2, 10, 3, 5, 4, 1, 6, 8, 9, 7]","[['M', 2, 3, 4, 8, 9, 7], ['M', 10, 5, 1, 6], ['M', 2, 4, 6, 8, 9], ['M', 10, 3, 5, 1, 7]]",93.92433183369727,"[2, 10, 3, 5, 4, 1, 6, 8, 9, 7]","[['M', 2, 3, 4, 8, 9, 7], ['M', 10, 5, 1, 6], ['M', 2, 4, 6, 8, 9], ['M', 10, 3, 5, 1, 7]]",34.31269979476929
9,285.0544992522758,"[7, 4, 1, 6, 8, 2, 3, 9, 5, 10]","[['M', 7, 4, 1, 6], ['M', 8, 2, 3, 9, 5, 10], ['M', 4, 8, 2, 3, 9, 10], ['M', 7, 1, 6, 5]]",64.3765147469927,"[7, 4, 1, 6, 8, 2, 3, 9, 5, 10]","[['M', 7, 4, 1, 6], ['M', 8, 2, 3, 9, 5, 10], ['M', 4, 8, 2, 3, 9, 10], ['M', 7, 1, 6, 5]]",64.3765147469927,"[7, 4, 1, 6, 8, 2, 3, 9, 5, 10]","[['M', 7, 4, 1, 6], ['M', 8, 2, 3, 9, 5, 10], ['M', 4, 8, 2, 3, 9, 10], ['M', 7, 1, 6, 5]]",32.75935935974121
10,44.22481698781922,"[1, 2, 3, 9, 4, 5, 6, 7, 8, 10]","[['M', 1, 3, 4, 6, 7], ['M', 2, 9, 5, 8, 10], ['M', 1, 2, 5, 6, 7], ['M', 3, 9, 4, 8, 10]]",19.47505732493705,"[1, 2, 3, 9, 4, 5, 6, 7, 8, 10]","[['M', 1, 3, 4, 6, 7], ['M', 2, 9, 5, 8, 10], ['M', 1, 2, 5, 6, 7], ['M', 3, 9, 4, 8, 10]]",19.47505732493705,"[1, 2, 3, 9, 4, 5, 6, 7, 8, 10]","[['M', 1, 3, 4, 6, 7], ['M', 2, 9, 5, 8, 10], ['M', 1, 2, 5, 6, 7], ['M', 3, 9, 4, 8, 10]]",34.08032274246216
11,113.86375426541248,"[10, 5, 2, 1, 3, 9, 6, 8, 4, 7]","[['M', 5, 2, 9, 4, 7], ['M', 10, 1, 3, 6, 8], ['M', 10, 5, 3, 4, 7], ['M', 2, 1, 9, 6, 8]]",55.638417659582714,"[10, 2, 5, 1, 3, 9, 6, 8, 4, 7]","[['M', 2, 5, 9, 4, 7], ['M', 10, 1, 3, 6, 8], ['M', 10, 5, 3, 4, 7], ['M', 2, 1, 9, 6, 8]]",55.638417659582714,"[10, 2, 5, 1, 3, 9, 6, 8, 4, 7]","[['M', 2, 5, 9, 4, 7], ['M', 10, 1, 3, 6, 8], ['M', 10, 5, 3, 4, 7], ['M', 2, 1, 9, 6, 8]]",66.9443621635437
12,229.6667665066772,"[7, 9, 3, 5, 1, 2, 4, 8, 6, 10]","[['M', 7, 9, 3, 4, 6], ['M', 5, 1, 2, 8, 10], ['M', 7, 8, 6, 10], ['M', 9, 3, 5, 1, 2, 4]]",110.02919461874103,"[7, 9, 3, 5, 1, 2, 4, 8, 6, 10]","[['M', 7, 9, 3, 4, 6], ['M', 5, 1, 2, 8, 10], ['M', 7, 8, 6, 10], ['M', 9, 3, 5, 1, 2, 4]]",110.02919461874103,"[7, 9, 3, 5, 1, 2, 4, 8, 6, 10]","[['M', 7, 9, 3, 4, 6], ['M', 5, 1, 2, 8, 10], ['M', 7, 8, 6, 10], ['M', 9, 3, 5, 1, 2, 4]]",33.205381870269775
13,70.39809936195829,"[1, 2, 5, 4, 10, 9, 6, 3, 8, 7]","[['M', 5, 4, 10, 8], ['M', 1, 2, 9, 6, 3, 7], ['M', 1, 5, 6, 3, 8], ['M', 2, 4, 10, 9, 7]]",58.47945744345415,"[1, 2, 5, 4, 10, 9, 6, 3, 8, 7]","[['M', 5, 4, 10, 8], ['M', 1, 2, 9, 6, 3, 7], ['M', 1, 5, 6, 3, 8], ['M', 2, 4, 10, 9, 7]]",58.47945744345415,"[1, 2, 5, 4, 10, 9, 6, 3, 8, 7]","[['M', 5, 4, 10, 8], ['M', 1, 2, 9, 6, 3, 7], ['M', 1, 5, 6, 3, 8], ['M', 2, 4, 10, 9, 7]]",40.02172017097473
14,64.22916463385765,"[2, 7, 8, 9, 3, 1, 6, 10, 4, 5]","[['M', 8, 9, 10, 4, 5], ['M', 2, 7, 3, 1, 6], ['M', 7, 8, 1, 6, 10], ['M', 2, 9, 3, 4, 5]]",18.115574897579037,"[2, 7, 8, 9, 3, 1, 6, 10, 4, 5]","[['M', 8, 9, 10, 4, 5], ['M', 2, 7, 3, 1, 6], ['M', 7, 8, 1, 6, 10], ['M', 2, 9, 3, 4, 5]]",18.115574897579037,"[2, 7, 8, 9, 3, 1, 6, 10, 4, 5]","[['M', 8, 9, 10, 4, 5], ['M', 2, 7, 3, 1, 6], ['M', 7, 8, 1, 6, 10], ['M', 2, 9, 3, 4, 5]]",38.162956953048706
