,initial objective value,initial shared job order,initial schedule,process objective value,process shared job order,process schedule,final objective value,final shared job order,final schedule,time
1,170.8155360938903,"[4, 10, 2, 1, 8, 3, 6, 7, 9, 5]","[['M', 10, 2, 1, 8, 7], [4, 3, 6, 9, 5, 'M'], ['M', 4, 8, 3, 6, 9], ['M', 10, 2, 1, 7, 5]]",66.38472252163567,"[4, 10, 2, 1, 8, 3, 6, 7, 9, 5]","[['M', 10, 2, 1, 8, 7], [4, 3, 6, 9, 5, 'M'], ['M', 4, 8, 3, 6, 9], ['M', 10, 2, 1, 7, 5]]",66.38472252163567,"[4, 10, 2, 1, 8, 3, 6, 7, 9, 5]","[['M', 10, 2, 1, 8, 7], [4, 3, 6, 9, 5, 'M'], ['M', 4, 8, 3, 6, 9], ['M', 10, 2, 1, 7, 5]]",4.132124185562134
2,236.94357469418028,"[5, 9, 2, 4, 6, 7, 8, 3, 10, 1]","[['M', 5, 9, 2, 7, 10, 1], ['M', 4, 6, 8, 3], ['M', 4, 6, 7, 8, 10], ['M', 5, 9, 2, 3, 1]]",192.71544381424286,"[5, 9, 2, 4, 6, 7, 8, 3, 10, 1]","[['M', 5, 9, 2, 7, 10, 1], ['M', 4, 6, 8, 3], ['M', 4, 6, 7, 8, 10], ['M', 5, 9, 2, 3, 1]]",192.71544381424286,"[5, 9, 2, 4, 6, 7, 8, 3, 10, 1]","[['M', 5, 9, 2, 7, 10, 1], ['M', 4, 6, 8, 3], ['M', 4, 6, 7, 8, 10], ['M', 5, 9, 2, 3, 1]]",4.066483020782471
3,187.79842910072736,"[5, 2, 1, 4, 7, 10, 9, 8, 6, 3]","[['M', 5, 4, 9, 8, 6, 3], ['M', 2, 1, 7, 10], ['M', 2, 10, 6, 3], ['M', 5, 1, 4, 7, 9, 8]]",72.840953141163,"[5, 2, 1, 4, 7, 10, 9, 8, 6, 3]","[['M', 5, 4, 9, 8, 6, 3], ['M', 2, 1, 7, 10], ['M', 2, 10, 6, 3], ['M', 5, 1, 4, 7, 9, 8]]",72.840953141163,"[5, 2, 1, 4, 7, 10, 9, 8, 6, 3]","[['M', 5, 4, 9, 8, 6, 3], ['M', 2, 1, 7, 10], ['M', 2, 10, 6, 3], ['M', 5, 1, 4, 7, 9, 8]]",3.975421905517578
4,139.95705324987236,"[7, 10, 5, 4, 6, 1, 9, 3, 8, 2]","[['M', 7, 10, 6, 9, 8], ['M', 5, 4, 1, 3, 2], ['M', 10, 5, 4, 9, 3, 8], ['M', 7, 6, 1, 2]]",104.7245339622233,"[7, 10, 5, 4, 6, 1, 9, 3, 8, 2]","[['M', 7, 10, 6, 9, 8], ['M', 5, 4, 1, 3, 2], ['M', 10, 5, 4, 9, 3, 8], ['M', 7, 6, 1, 2]]",104.7245339622233,"[7, 10, 5, 4, 6, 1, 9, 3, 8, 2]","[['M', 7, 10, 6, 9, 8], ['M', 5, 4, 1, 3, 2], ['M', 10, 5, 4, 9, 3, 8], ['M', 7, 6, 1, 2]]",4.018954038619995
5,176.0599114813184,"[7, 6, 8, 5, 9, 4, 10, 1, 3, 2]","[['M', 7, 9, 4, 1, 2], ['M', 6, 8, 5, 10, 3], ['M', 9, 4, 10, 1, 2], ['M', 7, 6, 8, 5, 3]]",101.92631992127511,"[7, 6, 4, 5, 9, 8, 10, 1, 3, 2]","[['M', 7, 4, 9, 1, 2], ['M', 6, 5, 8, 10, 3], ['M', 4, 9, 10, 1, 2], ['M', 7, 6, 5, 8, 3]]",101.92631992127511,"[7, 6, 4, 5, 9, 8, 10, 1, 3, 2]","[['M', 7, 4, 9, 1, 2], ['M', 6, 5, 8, 10, 3], ['M', 4, 9, 10, 1, 2], ['M', 7, 6, 5, 8, 3]]",8.362145900726318
6,155.8726735606446,"[9, 8, 7, 10, 4, 6, 2, 3, 1, 5]","[['M', 9, 6, 2, 1, 5], ['M', 8, 7, 10, 4, 3], ['M', 9, 10, 6, 3, 5], ['M', 8, 7, 4, 2, 1]]",95.41533561296413,"[9, 8, 7, 10, 4, 6, 2, 3, 1, 5]","[['M', 9, 6, 2, 1, 5], ['M', 8, 7, 10, 4, 3], ['M', 9, 10, 6, 3, 5], ['M', 8, 7, 4, 2, 1]]",95.41533561296413,"[9, 8, 7, 10, 4, 6, 2, 3, 1, 5]","[['M', 9, 6, 2, 1, 5], ['M', 8, 7, 10, 4, 3], ['M', 9, 10, 6, 3, 5], ['M', 8, 7, 4, 2, 1]]",4.033016204833984
7,127.6251436227791,"[4, 8, 5, 2, 7, 10, 6, 9, 1, 3]","[['M', 4, 2, 6, 1, 3], ['M', 8, 5, 7, 10, 9], ['M', 4, 8, 6, 1, 3], ['M', 5, 2, 7, 10, 9]]",86.80228261316765,"[9, 7, 2, 8, 6, 4, 1, 10, 5, 3]","[['M', 2, 6, 4, 1, 3], ['M', 9, 7, 8, 10, 5], ['M', 8, 6, 4, 1, 3], ['M', 9, 7, 2, 10, 5]]",86.80228261316765,"[9, 7, 2, 8, 6, 4, 1, 10, 5, 3]","[['M', 2, 6, 4, 1, 3], ['M', 9, 7, 8, 10, 5], ['M', 8, 6, 4, 1, 3], ['M', 9, 7, 2, 10, 5]]",8.265312910079956
8,151.191126635782,"[3, 9, 2, 5, 4, 10, 6, 8, 1, 7]","[['M', 3, 9, 2, 4, 8, 7], ['M', 5, 10, 6, 1], ['M', 9, 2, 4, 6, 8], ['M', 3, 5, 10, 1, 7]]",109.11174034034431,"[3, 9, 2, 5, 4, 10, 6, 8, 1, 7]","[['M', 3, 9, 2, 4, 8, 7], ['M', 5, 10, 6, 1], ['M', 9, 2, 4, 6, 8], ['M', 3, 5, 10, 1, 7]]",109.11174034034431,"[3, 9, 2, 5, 4, 10, 6, 8, 1, 7]","[['M', 3, 9, 2, 4, 8, 7], ['M', 5, 10, 6, 1], ['M', 9, 2, 4, 6, 8], ['M', 3, 5, 10, 1, 7]]",3.964111089706421
9,189.31653634128932,"[6, 2, 1, 3, 8, 7, 4, 9, 5, 10]","[['M', 6, 1, 7, 4], ['M', 2, 3, 8, 9, 5, 10], ['M', 2, 3, 8, 4, 9, 10], ['M', 6, 1, 7, 5]]",75.31653029418949,"[6, 2, 1, 3, 8, 7, 4, 9, 5, 10]","[['M', 6, 1, 7, 4], ['M', 2, 3, 8, 9, 5, 10], ['M', 2, 3, 8, 4, 9, 10], ['M', 6, 1, 7, 5]]",75.31653029418949,"[6, 2, 1, 3, 8, 7, 4, 9, 5, 10]","[['M', 6, 1, 7, 4], ['M', 2, 3, 8, 9, 5, 10], ['M', 2, 3, 8, 4, 9, 10], ['M', 6, 1, 7, 5]]",3.909797191619873
10,45.05904006429662,"[1, 2, 4, 8, 9, 7, 5, 3, 6, 10]","[['M', 1, 4, 7, 3, 6], ['M', 2, 8, 9, 5, 10], ['M', 1, 2, 7, 5, 6], ['M', 4, 8, 9, 3, 10]]",23.038147941182174,"[1, 2, 4, 8, 9, 7, 5, 3, 6, 10]","[['M', 1, 4, 7, 3, 6], ['M', 2, 8, 9, 5, 10], ['M', 1, 2, 7, 5, 6], ['M', 4, 8, 9, 3, 10]]",23.038147941182174,"[1, 2, 4, 8, 9, 7, 5, 3, 6, 10]","[['M', 1, 4, 7, 3, 6], ['M', 2, 8, 9, 5, 10], ['M', 1, 2, 7, 5, 6], ['M', 4, 8, 9, 3, 10]]",4.0645880699157715
11,126.11995372475621,"[1, 10, 5, 9, 2, 3, 8, 4, 6, 7]","[['M', 5, 9, 2, 4, 7], ['M', 1, 10, 3, 8, 6], ['M', 10, 5, 3, 4, 7], ['M', 1, 9, 2, 8, 6]]",66.54657764409977,"[1, 10, 5, 9, 2, 3, 8, 4, 6, 7]","[['M', 5, 9, 2, 4, 7], ['M', 1, 10, 3, 8, 6], ['M', 10, 5, 3, 4, 7], ['M', 1, 9, 2, 8, 6]]",66.54657764409977,"[1, 10, 5, 9, 2, 3, 8, 4, 6, 7]","[['M', 5, 9, 2, 4, 7], ['M', 1, 10, 3, 8, 6], ['M', 10, 5, 3, 4, 7], ['M', 1, 9, 2, 8, 6]]",4.1465301513671875
12,194.92664275589712,"[9, 3, 1, 7, 5, 4, 8, 2, 6, 10]","[['M', 9, 3, 7, 4, 6], ['M', 1, 5, 8, 2, 10], ['M', 7, 8, 6, 10], ['M', 9, 3, 1, 5, 4, 2]]",132.49016506693138,"[9, 3, 1, 7, 5, 4, 8, 2, 6, 10]","[['M', 9, 3, 7, 4, 6], ['M', 1, 5, 8, 2, 10], ['M', 7, 8, 6, 10], ['M', 9, 3, 1, 5, 4, 2]]",132.49016506693138,"[9, 3, 1, 7, 5, 4, 8, 2, 6, 10]","[['M', 9, 3, 7, 4, 6], ['M', 1, 5, 8, 2, 10], ['M', 7, 8, 6, 10], ['M', 9, 3, 1, 5, 4, 2]]",4.063286066055298
13,115.00999324569283,"[1, 9, 4, 10, 2, 7, 5, 6, 3, 8]","[['M', 4, 10, 5, 8], ['M', 1, 9, 2, 7, 6, 3], ['M', 1, 5, 6, 3, 8], ['M', 9, 4, 10, 2, 7]]",65.49772201257402,"[1, 9, 4, 10, 2, 7, 5, 6, 3, 8]","[['M', 4, 10, 5, 8], ['M', 1, 9, 2, 7, 6, 3], ['M', 1, 5, 6, 3, 8], ['M', 9, 4, 10, 2, 7]]",65.49772201257402,"[1, 9, 4, 10, 2, 7, 5, 6, 3, 8]","[['M', 4, 10, 5, 8], ['M', 1, 9, 2, 7, 6, 3], ['M', 1, 5, 6, 3, 8], ['M', 9, 4, 10, 2, 7]]",4.057980298995972
14,101.75764245328484,"[7, 2, 9, 3, 10, 6, 8, 5, 1, 4]","[['M', 9, 10, 8, 5, 4], ['M', 7, 2, 3, 6, 1], ['M', 7, 10, 6, 8, 1], ['M', 2, 9, 3, 5, 4]]",37.75151436277223,"[7, 2, 9, 3, 10, 6, 8, 5, 1, 4]","[['M', 9, 10, 8, 5, 4], ['M', 7, 2, 3, 6, 1], ['M', 7, 10, 6, 8, 1], ['M', 2, 9, 3, 5, 4]]",37.75151436277223,"[7, 2, 9, 3, 10, 6, 8, 5, 1, 4]","[['M', 9, 10, 8, 5, 4], ['M', 7, 2, 3, 6, 1], ['M', 7, 10, 6, 8, 1], ['M', 2, 9, 3, 5, 4]]",4.11031699180603
15,127.2451877551613,"[9, 8, 10, 7, 2, 1, 6, 4, 3, 5]","[['M', 8, 2, 6, 5], ['M', 9, 10, 7, 1, 4, 3], ['M', 10, 7, 6, 4, 3], ['M', 9, 8, 2, 1, 5]]",104.2592362981859,"[9, 8, 10, 7, 2, 1, 6, 4, 3, 5]","[['M', 8, 2, 6, 5], ['M', 9, 10, 7, 1, 4, 3], ['M', 10, 7, 6, 4, 3], ['M', 9, 8, 2, 1, 5]]",104.2592362981859,"[9, 8, 10, 7, 2, 1, 6, 4, 3, 5]","[['M', 8, 2, 6, 5], ['M', 9, 10, 7, 1, 4, 3], ['M', 10, 7, 6, 4, 3], ['M', 9, 8, 2, 1, 5]]",4.031231880187988
