,initial objective value,initial shared job order,initial schedule,process objective value,process shared job order,process schedule,final objective value,final shared job order,final schedule,time
1,118.09612237513005,"[2, 6, 10, 4, 7, 9, 1, 8, 5, 3]","[['M', 2, 10, 7, 1, 8], [6, 4, 9, 5, 3, 'M'], ['M', 6, 4, 9, 8, 3], ['M', 2, 10, 7, 1, 5]]",46.150680814013526,"[2, 6, 10, 4, 7, 9, 1, 8, 5, 3]","[['M', 2, 10, 7, 1, 8], [6, 4, 9, 5, 3, 'M'], ['M', 6, 4, 9, 8, 3], ['M', 2, 10, 7, 1, 5]]",46.150680814013526,"[2, 6, 10, 4, 7, 9, 1, 8, 5, 3]","[['M', 2, 10, 7, 1, 8], [6, 4, 9, 5, 3, 'M'], ['M', 6, 4, 9, 8, 3], ['M', 2, 10, 7, 1, 5]]",110.6363160610199
2,347.6610105175668,"[8, 10, 7, 4, 9, 2, 3, 6, 5, 1]","[['M', 10, 7, 9, 2, 5, 1], ['M', 8, 4, 3, 6], ['M', 8, 10, 7, 4, 6], ['M', 9, 2, 3, 5, 1]]",230.8472084183321,"[8, 10, 7, 4, 9, 2, 3, 6, 5, 1]","[['M', 10, 7, 9, 2, 5, 1], ['M', 8, 4, 3, 6], ['M', 8, 10, 7, 4, 6], ['M', 9, 2, 3, 5, 1]]",212.54975634899472,"[4, 5, 2, 9, 6, 10, 7, 8, 1, 3]","[['M', 5, 2, 9, 10, 7, 1], ['M', 4, 6, 8, 3], ['M', 4, 6, 10, 7, 8], ['M', 5, 2, 9, 1, 3]]",112.97282099723816
3,285.27549242657386,"[1, 7, 5, 8, 6, 2, 10, 3, 9, 4]","[['M', 5, 8, 6, 3, 9, 4], ['M', 1, 7, 2, 10], ['M', 6, 2, 10, 3], ['M', 1, 7, 5, 8, 9, 4]]",90.83747945817908,"[1, 7, 5, 8, 6, 2, 10, 3, 9, 4]","[['M', 5, 8, 6, 3, 9, 4], ['M', 1, 7, 2, 10], ['M', 6, 2, 10, 3], ['M', 1, 7, 5, 8, 9, 4]]",90.83747945817908,"[1, 7, 5, 8, 6, 2, 10, 3, 9, 4]","[['M', 5, 8, 6, 3, 9, 4], ['M', 1, 7, 2, 10], ['M', 6, 2, 10, 3], ['M', 1, 7, 5, 8, 9, 4]]",112.19559121131897
4,232.79582083304044,"[10, 7, 9, 1, 6, 8, 5, 3, 4, 2]","[['M', 10, 7, 9, 6, 8], ['M', 1, 5, 3, 4, 2], ['M', 10, 9, 8, 5, 3, 4], ['M', 7, 1, 6, 2]]",100.2004896973646,"[10, 7, 9, 1, 6, 8, 5, 3, 4, 2]","[['M', 10, 7, 9, 6, 8], ['M', 1, 5, 3, 4, 2], ['M', 10, 9, 8, 5, 3, 4], ['M', 7, 1, 6, 2]]",100.2004896973646,"[10, 7, 9, 1, 6, 8, 5, 3, 4, 2]","[['M', 10, 7, 9, 6, 8], ['M', 1, 5, 3, 4, 2], ['M', 10, 9, 8, 5, 3, 4], ['M', 7, 1, 6, 2]]",109.14559507369995
5,172.77128217223344,"[5, 4, 10, 6, 7, 9, 2, 3, 8, 1]","[['M', 4, 7, 9, 2, 1], ['M', 5, 10, 6, 3, 8], ['M', 4, 10, 9, 2, 1], ['M', 5, 6, 7, 3, 8]]",109.1102198750986,"[5, 4, 10, 6, 7, 9, 2, 3, 8, 1]","[['M', 4, 7, 9, 2, 1], ['M', 5, 10, 6, 3, 8], ['M', 4, 10, 9, 2, 1], ['M', 5, 6, 7, 3, 8]]",109.1102198750986,"[5, 4, 10, 6, 7, 9, 2, 3, 8, 1]","[['M', 4, 7, 9, 2, 1], ['M', 5, 10, 6, 3, 8], ['M', 4, 10, 9, 2, 1], ['M', 5, 6, 7, 3, 8]]",108.32681584358215
6,163.1225904579172,"[9, 10, 3, 5, 2, 1, 4, 7, 8, 6]","[['M', 9, 5, 2, 1, 6], ['M', 10, 3, 4, 7, 8], ['M', 9, 10, 3, 5, 6], ['M', 2, 1, 4, 7, 8]]",73.37682792599844,"[9, 10, 3, 5, 2, 1, 4, 7, 8, 6]","[['M', 9, 5, 2, 1, 6], ['M', 10, 3, 4, 7, 8], ['M', 9, 10, 3, 5, 6], ['M', 2, 1, 4, 7, 8]]",73.37682792599844,"[9, 10, 3, 5, 2, 1, 4, 7, 8, 6]","[['M', 9, 5, 2, 1, 6], ['M', 10, 3, 4, 7, 8], ['M', 9, 10, 3, 5, 6], ['M', 2, 1, 4, 7, 8]]",109.55710983276367
7,147.55673895861608,"[7, 9, 10, 6, 3, 4, 1, 2, 5, 8]","[['M', 6, 3, 4, 1, 2], ['M', 7, 9, 10, 5, 8], ['M', 6, 3, 4, 1, 8], ['M', 7, 9, 10, 2, 5]]",113.50765292013081,"[7, 9, 10, 6, 3, 4, 1, 2, 5, 8]","[['M', 6, 3, 4, 1, 2], ['M', 7, 9, 10, 5, 8], ['M', 6, 3, 4, 1, 8], ['M', 7, 9, 10, 2, 5]]",102.99347626113662,"[2, 8, 10, 6, 4, 1, 9, 7, 5, 3]","[['M', 2, 6, 4, 1, 3], ['M', 8, 10, 9, 7, 5], ['M', 8, 6, 4, 1, 3], ['M', 2, 10, 9, 7, 5]]",151.1460406780243
8,170.3659220574004,"[10, 4, 1, 2, 3, 8, 7, 9, 6, 5]","[['M', 4, 2, 3, 8, 7, 9], ['M', 10, 1, 6, 5], ['M', 4, 2, 8, 9, 6], ['M', 10, 1, 3, 7, 5]]",118.91379791717193,"[10, 4, 1, 2, 3, 8, 7, 9, 6, 5]","[['M', 4, 2, 3, 8, 7, 9], ['M', 10, 1, 6, 5], ['M', 4, 2, 8, 9, 6], ['M', 10, 1, 3, 7, 5]]",118.91379791717193,"[10, 4, 1, 2, 3, 8, 7, 9, 6, 5]","[['M', 4, 2, 3, 8, 7, 9], ['M', 10, 1, 6, 5], ['M', 4, 2, 8, 9, 6], ['M', 10, 1, 3, 7, 5]]",90.8838038444519
9,293.6147014826244,"[7, 1, 9, 6, 4, 8, 3, 2, 5, 10]","[['M', 7, 1, 6, 4], ['M', 9, 8, 3, 2, 5, 10], ['M', 9, 4, 8, 3, 2, 10], ['M', 7, 1, 6, 5]]",67.63379883303229,"[7, 1, 9, 6, 4, 8, 3, 2, 5, 10]","[['M', 7, 1, 6, 4], ['M', 9, 8, 3, 2, 5, 10], ['M', 9, 4, 8, 3, 2, 10], ['M', 7, 1, 6, 5]]",67.63379883303229,"[7, 1, 9, 6, 4, 8, 3, 2, 5, 10]","[['M', 7, 1, 6, 4], ['M', 9, 8, 3, 2, 5, 10], ['M', 9, 4, 8, 3, 2, 10], ['M', 7, 1, 6, 5]]",153.98943209648132
10,53.63236169457688,"[1, 2, 3, 5, 9, 8, 10, 7, 4, 6]","[['M', 1, 3, 7, 4, 6], ['M', 2, 5, 9, 8, 10], ['M', 1, 2, 5, 7, 6], ['M', 3, 9, 8, 10, 4]]",27.12755587455235,"[1, 2, 3, 5, 9, 8, 10, 7, 4, 6]","[['M', 1, 3, 7, 4, 6], ['M', 2, 5, 9, 8, 10], ['M', 1, 2, 5, 7, 6], ['M', 3, 9, 8, 10, 4]]",27.12755587455235,"[1, 2, 3, 5, 9, 8, 10, 7, 4, 6]","[['M', 1, 3, 7, 4, 6], ['M', 2, 5, 9, 8, 10], ['M', 1, 2, 5, 7, 6], ['M', 3, 9, 8, 10, 4]]",151.97269105911255
11,71.30631586644043,"[1, 5, 10, 2, 9, 3, 8, 6, 4, 7]","[['M', 5, 2, 9, 4, 7], ['M', 1, 10, 3, 8, 6], ['M', 5, 10, 3, 4, 7], ['M', 1, 2, 9, 8, 6]]",60.38648053303223,"[1, 5, 10, 2, 9, 3, 8, 6, 4, 7]","[['M', 5, 2, 9, 4, 7], ['M', 1, 10, 3, 8, 6], ['M', 5, 10, 3, 4, 7], ['M', 1, 2, 9, 8, 6]]",60.38648053303223,"[1, 5, 10, 2, 9, 3, 8, 6, 4, 7]","[['M', 5, 2, 9, 4, 7], ['M', 1, 10, 3, 8, 6], ['M', 5, 10, 3, 4, 7], ['M', 1, 2, 9, 8, 6]]",152.94389295578003
12,305.81856007378394,"[9, 7, 4, 5, 3, 2, 6, 10, 1, 8]","[['M', 9, 7, 4, 3, 6], ['M', 5, 2, 10, 1, 8], ['M', 7, 6, 10, 8], ['M', 9, 4, 5, 3, 2, 1]]",133.21610100608672,"[9, 7, 4, 5, 3, 2, 6, 10, 1, 8]","[['M', 9, 7, 4, 3, 6], ['M', 5, 2, 10, 1, 8], ['M', 7, 6, 10, 8], ['M', 9, 4, 5, 3, 2, 1]]",133.21610100608672,"[9, 7, 4, 5, 3, 2, 6, 10, 1, 8]","[['M', 9, 7, 4, 3, 6], ['M', 5, 2, 10, 1, 8], ['M', 7, 6, 10, 8], ['M', 9, 4, 5, 3, 2, 1]]",146.4539351463318
13,104.68402287065936,"[2, 1, 5, 7, 4, 10, 6, 9, 3, 8]","[['M', 5, 4, 10, 8], ['M', 2, 1, 7, 6, 9, 3], ['M', 1, 5, 6, 3, 8], ['M', 2, 7, 4, 10, 9]]",64.51783655060741,"[2, 1, 5, 7, 4, 10, 6, 9, 3, 8]","[['M', 5, 4, 10, 8], ['M', 2, 1, 7, 6, 9, 3], ['M', 1, 5, 6, 3, 8], ['M', 2, 7, 4, 10, 9]]",64.51783655060741,"[2, 1, 5, 7, 4, 10, 6, 9, 3, 8]","[['M', 5, 4, 10, 8], ['M', 2, 1, 7, 6, 9, 3], ['M', 1, 5, 6, 3, 8], ['M', 2, 7, 4, 10, 9]]",105.1180579662323
14,143.07382875845465,"[2, 9, 8, 7, 1, 3, 6, 5, 10, 4]","[['M', 9, 8, 5, 10, 4], ['M', 2, 7, 1, 3, 6], ['M', 8, 7, 1, 6, 10], ['M', 2, 9, 3, 5, 4]]",23.053129120914583,"[2, 9, 8, 7, 1, 3, 6, 5, 10, 4]","[['M', 9, 8, 5, 10, 4], ['M', 2, 7, 1, 3, 6], ['M', 8, 7, 1, 6, 10], ['M', 2, 9, 3, 5, 4]]",23.053129120914583,"[2, 9, 8, 7, 1, 3, 6, 5, 10, 4]","[['M', 9, 8, 5, 10, 4], ['M', 2, 7, 1, 3, 6], ['M', 8, 7, 1, 6, 10], ['M', 2, 9, 3, 5, 4]]",252.00589966773987
15,152.81399931285796,"[9, 8, 6, 1, 4, 7, 10, 3, 5, 2]","[['M', 8, 6, 5, 2], ['M', 9, 1, 4, 7, 10, 3], ['M', 6, 4, 7, 10, 3], ['M', 9, 8, 1, 5, 2]]",79.6061798446368,"[9, 8, 6, 1, 4, 7, 10, 3, 5, 2]","[['M', 8, 6, 5, 2], ['M', 9, 1, 4, 7, 10, 3], ['M', 6, 4, 7, 10, 3], ['M', 9, 8, 1, 5, 2]]",79.6061798446368,"[9, 8, 6, 1, 4, 7, 10, 3, 5, 2]","[['M', 8, 6, 5, 2], ['M', 9, 1, 4, 7, 10, 3], ['M', 6, 4, 7, 10, 3], ['M', 9, 8, 1, 5, 2]]",153.0406370162964
16,114.38618035617465,"[10, 9, 2, 5, 7, 1, 8, 4, 6, 3]","[['M', 9, 2, 5, 7, 1], ['M', 10, 8, 4, 6, 3], ['M', 10, 2, 7, 1, 3], ['M', 9, 5, 8, 4, 6]]",37.65155693277879,"[10, 9, 2, 5, 7, 1, 8, 4, 6, 3]","[['M', 9, 2, 5, 7, 1], ['M', 10, 8, 4, 6, 3], ['M', 10, 2, 7, 1, 3], ['M', 9, 5, 8, 4, 6]]",37.65155693277879,"[10, 9, 2, 5, 7, 1, 8, 4, 6, 3]","[['M', 9, 2, 5, 7, 1], ['M', 10, 8, 4, 6, 3], ['M', 10, 2, 7, 1, 3], ['M', 9, 5, 8, 4, 6]]",110.1986072063446
17,184.65607374063796,"[5, 8, 10, 1, 2, 6, 4, 7, 3, 9]","[['M', 5, 8, 10, 2, 4, 3], ['M', 1, 6, 7, 9], ['M', 5, 8, 10, 1, 3], ['M', 2, 6, 4, 7, 9]]",117.993623306868,"[5, 8, 10, 1, 2, 6, 4, 7, 3, 9]","[['M', 5, 8, 10, 2, 4, 3], ['M', 1, 6, 7, 9], ['M', 5, 8, 10, 1, 3], ['M', 2, 6, 4, 7, 9]]",117.993623306868,"[5, 8, 10, 1, 2, 6, 4, 7, 3, 9]","[['M', 5, 8, 10, 2, 4, 3], ['M', 1, 6, 7, 9], ['M', 5, 8, 10, 1, 3], ['M', 2, 6, 4, 7, 9]]",152.6891849040985
18,95.72628268809076,"[4, 2, 5, 6, 1, 10, 9, 7, 8, 3]","[['M', 4, 6, 1, 10, 3], ['M', 2, 5, 9, 7, 8], ['M', 2, 6, 7, 8], ['M', 4, 5, 1, 10, 9, 3]]",37.56936146456544,"[4, 2, 5, 6, 1, 10, 9, 7, 8, 3]","[['M', 4, 6, 1, 10, 3], ['M', 2, 5, 9, 7, 8], ['M', 2, 6, 7, 8], ['M', 4, 5, 1, 10, 9, 3]]",37.56936146456544,"[4, 2, 5, 6, 1, 10, 9, 7, 8, 3]","[['M', 4, 6, 1, 10, 3], ['M', 2, 5, 9, 7, 8], ['M', 2, 6, 7, 8], ['M', 4, 5, 1, 10, 9, 3]]",220.29577612876892
19,151.0890513994617,"[5, 9, 10, 8, 6, 4, 1, 2, 3, 7]","[['M', 10, 8, 6, 2, 7], ['M', 5, 9, 4, 1, 3], ['M', 5, 6, 4, 1, 7], ['M', 9, 10, 8, 2, 3]]",89.79703622074638,"[5, 9, 10, 8, 6, 4, 1, 2, 3, 7]","[['M', 10, 8, 6, 2, 7], ['M', 5, 9, 4, 1, 3], ['M', 5, 6, 4, 1, 7], ['M', 9, 10, 8, 2, 3]]",89.79703622074638,"[5, 9, 10, 8, 6, 4, 1, 2, 3, 7]","[['M', 10, 8, 6, 2, 7], ['M', 5, 9, 4, 1, 3], ['M', 5, 6, 4, 1, 7], ['M', 9, 10, 8, 2, 3]]",952.8374447822571
20,187.48899257503325,"[8, 10, 9, 6, 3, 5, 7, 1, 2, 4]","[['M', 10, 9, 6, 3, 7], ['M', 8, 5, 1, 2, 4], ['M', 8, 10, 9, 6, 4], ['M', 3, 5, 7, 1, 2]]",57.02686145445538,"[8, 10, 9, 6, 3, 5, 7, 1, 2, 4]","[['M', 10, 9, 6, 3, 7], ['M', 8, 5, 1, 2, 4], ['M', 8, 10, 9, 6, 4], ['M', 3, 5, 7, 1, 2]]",57.02686145445538,"[8, 10, 9, 6, 3, 5, 7, 1, 2, 4]","[['M', 10, 9, 6, 3, 7], ['M', 8, 5, 1, 2, 4], ['M', 8, 10, 9, 6, 4], ['M', 3, 5, 7, 1, 2]]",272.17585802078247
21,154.88093791980873,"[8, 1, 4, 6, 10, 2, 3, 7, 9, 5]","[['M', 8, 4, 6, 10, 9], ['M', 1, 2, 3, 7, 5], ['M', 8, 6, 9, 5], ['M', 1, 4, 10, 2, 3, 7]]",48.627009331284206,"[8, 1, 4, 6, 10, 2, 3, 7, 9, 5]","[['M', 8, 4, 6, 10, 9], ['M', 1, 2, 3, 7, 5], ['M', 8, 6, 9, 5], ['M', 1, 4, 10, 2, 3, 7]]",48.627009331284206,"[8, 1, 4, 6, 10, 2, 3, 7, 9, 5]","[['M', 8, 4, 6, 10, 9], ['M', 1, 2, 3, 7, 5], ['M', 8, 6, 9, 5], ['M', 1, 4, 10, 2, 3, 7]]",132.83106303215027
22,218.26694471868802,"[6, 1, 8, 9, 5, 4, 10, 7, 2, 3]","[['M', 6, 8, 5, 10, 7], [1, 9, 4, 2, 3, 'M'], ['M', 6, 1, 4, 10, 7, 3], ['M', 8, 9, 5, 2]]",116.54707024670869,"[6, 1, 8, 9, 5, 4, 10, 7, 2, 3]","[['M', 6, 8, 5, 10, 7], [1, 9, 4, 2, 3, 'M'], ['M', 6, 1, 4, 10, 7, 3], ['M', 8, 9, 5, 2]]",97.25672711124157,"[1, 9, 10, 5, 4, 6, 7, 2, 3, 8]","[['M', 10, 5, 6, 7, 8], ['M', 1, 9, 4, 2, 3], ['M', 1, 10, 4, 6, 7, 3], ['M', 9, 5, 2, 8]]",109.74068284034729
23,240.51044392153602,"[7, 6, 1, 5, 4, 9, 10, 2, 8, 3]","[['M', 1, 5, 9, 2, 8], ['M', 7, 6, 4, 10, 3], ['M', 6, 1, 5, 10, 2], ['M', 7, 4, 9, 8, 3]]",109.39804664688972,"[7, 6, 1, 5, 4, 9, 10, 2, 8, 3]","[['M', 1, 5, 9, 2, 8], ['M', 7, 6, 4, 10, 3], ['M', 6, 1, 5, 10, 2], ['M', 7, 4, 9, 8, 3]]",109.39804664688972,"[7, 6, 1, 5, 4, 9, 10, 2, 8, 3]","[['M', 1, 5, 9, 2, 8], ['M', 7, 6, 4, 10, 3], ['M', 6, 1, 5, 10, 2], ['M', 7, 4, 9, 8, 3]]",152.6226568222046
24,246.13063261849229,"[5, 2, 10, 7, 9, 6, 4, 3, 8, 1]","[['M', 2, 9, 6, 4, 8], ['M', 5, 10, 7, 3, 1], ['M', 5, 7, 9, 3, 1], ['M', 2, 10, 6, 4, 8]]",106.07889958533808,"[5, 2, 10, 7, 9, 6, 4, 3, 8, 1]","[['M', 2, 9, 6, 4, 8], ['M', 5, 10, 7, 3, 1], ['M', 5, 7, 9, 3, 1], ['M', 2, 10, 6, 4, 8]]",106.07889958533808,"[5, 2, 10, 7, 9, 6, 4, 3, 8, 1]","[['M', 2, 9, 6, 4, 8], ['M', 5, 10, 7, 3, 1], ['M', 5, 7, 9, 3, 1], ['M', 2, 10, 6, 4, 8]]",108.19379496574402
25,292.30631575423564,"[10, 8, 5, 3, 4, 6, 2, 9, 1, 7]","[['M', 5, 4, 6, 2, 9], ['M', 10, 8, 3, 1, 7], ['M', 8, 2, 9, 1, 7], ['M', 10, 5, 3, 4, 6]]",182.64307435364853,"[10, 8, 5, 3, 4, 6, 2, 9, 1, 7]","[['M', 5, 4, 6, 2, 9], ['M', 10, 8, 3, 1, 7], ['M', 8, 2, 9, 1, 7], ['M', 10, 5, 3, 4, 6]]",182.64307435364853,"[10, 8, 5, 3, 4, 6, 2, 9, 1, 7]","[['M', 5, 4, 6, 2, 9], ['M', 10, 8, 3, 1, 7], ['M', 8, 2, 9, 1, 7], ['M', 10, 5, 3, 4, 6]]",108.40244913101196
