,initial objective value,initial shared job order,initial schedule,process objective value,process shared job order,process schedule,final objective value,final shared job order,final schedule,time
1,134.04835139729175,"[4, 1, 2, 10, 6, 7, 8, 9, 5, 3]","[['M', 1, 2, 10, 7, 8], [4, 6, 9, 5, 3, 'M'], ['M', 4, 6, 8, 9, 3], ['M', 1, 2, 10, 7, 5]]",74.26926552141603,"[4, 10, 6, 9, 2, 1, 5, 8, 7, 3]","[['M', 10, 2, 1, 8, 7], ['M', 4, 6, 9, 5, 3], ['M', 4, 6, 9, 8, 3], ['M', 10, 2, 1, 5, 7]]",60.40152677086555,"[4, 10, 6, 9, 2, 1, 5, 8, 7, 3]","[['M', 2, 1, 5, 7, 3], ['M', 4, 10, 6, 9, 8], ['M', 4, 6, 9, 8, 3], ['M', 10, 2, 1, 5, 7]]",9.356109619140625
2,274.4859038385905,"[6, 5, 7, 10, 9, 2, 1, 4, 3, 8]","[['M', 5, 7, 10, 9, 2, 1], ['M', 6, 4, 3, 8], ['M', 6, 7, 10, 4, 8], ['M', 5, 9, 2, 1, 3]]",227.9512340614047,"[3, 7, 5, 10, 1, 6, 8, 9, 2, 4]","[['M', 7, 5, 10, 1, 9, 2], ['M', 3, 6, 8, 4], ['M', 7, 10, 6, 8, 4], ['M', 3, 5, 1, 9, 2]]",227.80971626643748,"[3, 7, 5, 10, 1, 6, 8, 9, 2, 4]","[['M', 7, 5, 10, 1, 9, 2], ['M', 3, 6, 8, 4], ['M', 7, 10, 6, 9, 4], ['M', 3, 5, 1, 8, 2]]",5.211106777191162
3,189.5316741780046,"[5, 1, 2, 7, 3, 6, 4, 10, 9, 8]","[['M', 5, 3, 6, 4, 9, 8], ['M', 1, 2, 7, 10], ['M', 2, 3, 6, 10], ['M', 5, 1, 7, 4, 9, 8]]",109.34915101130906,"[6, 5, 2, 7, 4, 1, 3, 10, 9, 8]","[['M', 6, 5, 4, 3, 9, 8], ['M', 2, 7, 1, 10], ['M', 6, 2, 3, 10], ['M', 5, 7, 4, 1, 9, 8]]",94.19431876814518,"[6, 5, 2, 7, 4, 1, 3, 10, 9, 8]","[['M', 6, 5, 2, 7, 1, 9], ['M', 4, 3, 10, 8], ['M', 6, 2, 1, 10], ['M', 5, 7, 4, 3, 9, 8]]",4.677448987960815
4,172.24462349012455,"[7, 9, 10, 6, 1, 5, 4, 8, 3, 2]","[['M', 7, 9, 10, 6, 8], ['M', 1, 5, 4, 3, 2], ['M', 9, 10, 5, 4, 8, 3], ['M', 7, 6, 1, 2]]",126.76041699035355,"[5, 7, 10, 6, 1, 3, 4, 9, 8, 2]","[['M', 7, 10, 6, 9, 8], ['M', 5, 1, 3, 4, 2], ['M', 5, 10, 3, 4, 9, 8], ['M', 7, 6, 1, 2]]",121.48634497024588,"[5, 7, 10, 6, 1, 3, 4, 9, 8, 2]","[['M', 7, 10, 6, 9, 8], ['M', 5, 1, 3, 4, 2], ['M', 5, 10, 1, 4, 9, 8], ['M', 7, 6, 3, 2]]",3.9710800647735596
5,203.15218595227205,"[5, 7, 6, 4, 10, 9, 3, 8, 1, 2]","[['M', 7, 4, 9, 1, 2], ['M', 5, 6, 10, 3, 8], ['M', 4, 10, 9, 1, 2], ['M', 5, 7, 6, 3, 8]]",117.0346382660509,"[4, 7, 10, 9, 6, 8, 3, 2, 1, 5]","[['M', 4, 7, 9, 2, 1], ['M', 10, 6, 8, 3, 5], ['M', 4, 10, 9, 2, 1], ['M', 7, 6, 8, 3, 5]]",115.95542125202316,"[4, 7, 10, 9, 6, 8, 3, 2, 1, 5]","[['M', 4, 7, 6, 2, 1], ['M', 10, 9, 8, 3, 5], ['M', 4, 10, 9, 2, 1], ['M', 7, 6, 8, 3, 5]]",5.027536392211914
6,81.43389341849138,"[9, 10, 1, 2, 3, 4, 7, 5, 6, 8]","[['M', 9, 1, 2, 5, 6], ['M', 10, 3, 4, 7, 8], ['M', 9, 10, 3, 5, 6], ['M', 1, 2, 4, 7, 8]]",81.43389341849138,"[9, 10, 1, 2, 3, 4, 7, 5, 6, 8]","[['M', 9, 1, 2, 5, 6], ['M', 10, 3, 4, 7, 8], ['M', 9, 10, 3, 5, 6], ['M', 1, 2, 4, 7, 8]]",76.67662126621119,"[9, 10, 1, 2, 3, 4, 7, 5, 6, 8]","[['M', 9, 1, 3, 5, 6], ['M', 10, 2, 4, 7, 8], ['M', 10, 2, 4, 5, 8], ['M', 9, 1, 3, 7, 6]]",2.2353525161743164
7,138.22291156168995,"[10, 6, 9, 7, 4, 2, 8, 1, 5, 3]","[['M', 6, 4, 2, 1, 3], ['M', 10, 9, 7, 8, 5], ['M', 6, 4, 8, 1, 3], ['M', 10, 9, 7, 2, 5]]",102.66898520440374,"[4, 8, 2, 6, 9, 10, 7, 1, 5, 3]","[['M', 4, 2, 6, 1, 3], ['M', 8, 9, 10, 7, 5], ['M', 4, 8, 6, 1, 3], ['M', 2, 9, 10, 7, 5]]",102.02793922580146,"[4, 8, 2, 6, 9, 10, 7, 1, 5, 3]","[['M', 4, 2, 6, 1, 3], ['M', 8, 9, 10, 7, 5], ['M', 4, 8, 9, 1, 3], ['M', 2, 6, 10, 7, 5]]",3.788647174835205
8,187.09667452338155,"[2, 10, 3, 5, 4, 1, 6, 8, 9, 7]","[['M', 2, 3, 4, 8, 9, 7], ['M', 10, 5, 1, 6], ['M', 2, 4, 6, 8, 9], ['M', 10, 3, 5, 1, 7]]",100.97446865078356,"[3, 10, 2, 4, 1, 5, 8, 6, 9, 7]","[['M', 3, 2, 4, 8, 9, 7], ['M', 10, 1, 5, 6], ['M', 2, 4, 8, 6, 9], ['M', 3, 10, 1, 5, 7]]",96.73170322928857,"[3, 10, 2, 4, 1, 5, 8, 6, 9, 7]","[['M', 3, 2, 4, 8, 9, 7], ['M', 10, 1, 5, 6], ['M', 2, 4, 5, 6, 7], ['M', 3, 10, 1, 8, 9]]",4.140648365020752
9,285.0544992522758,"[7, 4, 1, 6, 8, 2, 3, 9, 5, 10]","[['M', 7, 4, 1, 6], ['M', 8, 2, 3, 9, 5, 10], ['M', 4, 8, 2, 3, 9, 10], ['M', 7, 1, 6, 5]]",111.42034607034907,"[1, 6, 9, 8, 2, 3, 5, 4, 7, 10]","[['M', 1, 6, 4, 7], ['M', 9, 8, 2, 3, 5, 10], ['M', 9, 8, 2, 3, 4, 10], ['M', 1, 6, 5, 7]]",99.7868693666243,"[1, 6, 9, 8, 2, 3, 5, 4, 7, 10]","[['M', 6, 8, 4, 7], ['M', 1, 9, 2, 3, 5, 10], ['M', 1, 6, 9, 3, 4, 7], ['M', 8, 2, 5, 10]]",4.9967427253723145
10,44.22481698781922,"[1, 2, 3, 9, 4, 5, 6, 7, 8, 10]","[['M', 1, 3, 4, 6, 7], ['M', 2, 9, 5, 8, 10], ['M', 1, 2, 5, 6, 7], ['M', 3, 9, 4, 8, 10]]",25.51745043687473,"[4, 1, 9, 2, 3, 5, 7, 6, 8, 10]","[['M', 4, 1, 3, 7, 6], ['M', 9, 2, 5, 8, 10], ['M', 1, 2, 5, 7, 6], ['M', 4, 9, 3, 8, 10]]",23.58866294126264,"[4, 1, 9, 2, 3, 5, 7, 6, 8, 10]","[['M', 4, 1, 3, 7, 6], ['M', 9, 2, 5, 8, 10], ['M', 4, 9, 5, 7, 6], ['M', 1, 2, 3, 8, 10]]",3.0239956378936768
11,113.86375426541248,"[10, 5, 2, 1, 3, 9, 6, 8, 4, 7]","[['M', 5, 2, 9, 4, 7], ['M', 10, 1, 3, 6, 8], ['M', 10, 5, 3, 4, 7], ['M', 2, 1, 9, 6, 8]]",71.9331896515081,"[2, 10, 5, 1, 3, 9, 8, 7, 4, 6]","[['M', 2, 5, 9, 7, 4], ['M', 10, 1, 3, 8, 6], ['M', 10, 5, 3, 7, 4], ['M', 2, 1, 9, 8, 6]]",71.9331896515081,"[2, 10, 5, 1, 3, 9, 8, 7, 4, 6]","[['M', 2, 5, 9, 7, 4], ['M', 10, 1, 3, 8, 6], ['M', 10, 5, 3, 7, 4], ['M', 2, 1, 9, 8, 6]]",3.2913715839385986
12,229.6667665066772,"[7, 9, 3, 5, 1, 2, 4, 8, 6, 10]","[['M', 7, 9, 3, 4, 6], ['M', 5, 1, 2, 8, 10], ['M', 7, 8, 6, 10], ['M', 9, 3, 5, 1, 2, 4]]",143.9986879381134,"[1, 9, 5, 3, 7, 2, 4, 8, 6, 10]","[['M', 9, 3, 7, 4, 6], ['M', 1, 5, 2, 8, 10], ['M', 7, 8, 6, 10], ['M', 1, 9, 5, 3, 2, 4]]",128.15399940629342,"[1, 9, 5, 3, 7, 2, 4, 8, 6, 10]","[['M', 9, 5, 3, 4, 10], ['M', 1, 7, 2, 8, 6], ['M', 7, 2, 8, 6], ['M', 1, 9, 5, 3, 4, 10]]",3.007650852203369
13,70.39809936195829,"[1, 2, 5, 4, 10, 9, 6, 3, 8, 7]","[['M', 5, 4, 10, 8], ['M', 1, 2, 9, 6, 3, 7], ['M', 1, 5, 6, 3, 8], ['M', 2, 4, 10, 9, 7]]",58.516334828624736,"[1, 2, 5, 4, 10, 9, 6, 8, 7, 3]","[['M', 5, 4, 10, 8], ['M', 1, 2, 9, 6, 7, 3], ['M', 1, 5, 6, 8, 3], ['M', 2, 4, 10, 9, 7]]",58.503760543038986,"[1, 2, 5, 4, 10, 9, 6, 8, 7, 3]","[['M', 5, 4, 10, 8], ['M', 1, 2, 9, 6, 7, 3], ['M', 1, 5, 9, 8, 3], ['M', 2, 4, 10, 6, 7]]",2.995587110519409
14,64.22916463385765,"[2, 7, 8, 9, 3, 1, 6, 10, 4, 5]","[['M', 8, 9, 10, 4, 5], ['M', 2, 7, 3, 1, 6], ['M', 7, 8, 1, 6, 10], ['M', 2, 9, 3, 4, 5]]",44.13216831124994,"[7, 2, 8, 9, 1, 4, 6, 10, 3, 5]","[['M', 8, 9, 4, 10, 5], ['M', 7, 2, 1, 6, 3], ['M', 7, 8, 1, 6, 10], ['M', 2, 9, 4, 3, 5]]",44.13216831124994,"[7, 2, 8, 9, 1, 4, 6, 10, 3, 5]","[['M', 8, 9, 4, 10, 5], ['M', 7, 2, 1, 6, 3], ['M', 7, 8, 1, 6, 10], ['M', 2, 9, 4, 3, 5]]",3.058640956878662
15,166.09148598383592,"[9, 8, 6, 1, 4, 7, 3, 10, 2, 5]","[['M', 8, 6, 2, 5], ['M', 9, 1, 4, 7, 3, 10], ['M', 6, 4, 7, 3, 10], ['M', 9, 8, 1, 2, 5]]",101.79789084260355,"[9, 8, 7, 1, 6, 10, 5, 3, 2, 4]","[['M', 8, 6, 5, 2], ['M', 9, 7, 1, 10, 3, 4], ['M', 7, 6, 10, 3, 4], ['M', 9, 8, 1, 5, 2]]",91.017450748814,"[9, 8, 7, 1, 6, 10, 5, 3, 2, 4]","[['M', 7, 6, 5, 4], ['M', 9, 8, 1, 10, 3, 2], ['M', 7, 6, 10, 5, 2], ['M', 9, 8, 1, 3, 4]]",3.673271417617798
16,65.60542845961265,"[2, 9, 10, 5, 7, 1, 8, 6, 3, 4]","[['M', 2, 9, 5, 7, 1], ['M', 10, 8, 6, 3, 4], ['M', 2, 10, 7, 1, 3], ['M', 9, 5, 8, 6, 4]]",58.88922992776027,"[2, 5, 10, 9, 7, 6, 8, 1, 3, 4]","[['M', 2, 5, 9, 7, 1], ['M', 10, 6, 8, 3, 4], ['M', 2, 10, 7, 1, 3], ['M', 5, 9, 6, 8, 4]]",47.5178156873441,"[2, 5, 10, 9, 7, 6, 8, 1, 3, 4]","[['M', 2, 5, 9, 1, 3], ['M', 10, 7, 6, 8, 4], ['M', 2, 5, 7, 1, 4], ['M', 10, 9, 6, 8, 3]]",3.03381085395813
17,152.54210670568628,"[5, 2, 8, 6, 1, 7, 10, 4, 9, 3]","[['M', 5, 2, 8, 10, 4, 3], ['M', 6, 1, 7, 9], ['M', 5, 8, 1, 10, 3], ['M', 2, 6, 7, 4, 9]]",128.72644767191832,"[2, 5, 8, 6, 10, 7, 1, 4, 9, 3]","[['M', 2, 5, 8, 10, 4, 3], ['M', 6, 7, 1, 9], ['M', 5, 8, 10, 1, 3], ['M', 2, 6, 7, 4, 9]]",115.17923072798746,"[2, 5, 8, 6, 10, 7, 1, 4, 9, 3]","[['M', 5, 8, 10, 7, 4, 9], ['M', 2, 6, 1, 3], ['M', 5, 8, 6, 1, 9], ['M', 2, 10, 7, 4, 3]]",4.470410346984863
18,103.9302922434598,"[7, 5, 1, 10, 2, 4, 6, 8, 9, 3]","[['M', 1, 10, 4, 6, 3], ['M', 7, 5, 2, 8, 9], ['M', 7, 2, 6, 8], ['M', 5, 1, 10, 4, 9, 3]]",37.304999315383554,"[6, 1, 7, 4, 5, 2, 8, 10, 3, 9]","[['M', 6, 1, 4, 10, 3], ['M', 7, 5, 2, 8, 9], ['M', 6, 7, 2, 8], ['M', 1, 4, 5, 10, 3, 9]]",37.304999315383554,"[6, 1, 7, 4, 5, 2, 8, 10, 3, 9]","[['M', 6, 1, 4, 10, 3], ['M', 7, 5, 2, 8, 9], ['M', 6, 7, 2, 8], ['M', 1, 4, 5, 10, 3, 9]]",4.9143335819244385
19,167.89864592032845,"[8, 10, 9, 5, 6, 1, 4, 3, 2, 7]","[['M', 8, 10, 6, 2, 7], ['M', 9, 5, 1, 4, 3], ['M', 5, 6, 1, 4, 7], ['M', 8, 10, 9, 3, 2]]",112.89101671098669,"[5, 8, 10, 1, 6, 9, 4, 2, 3, 7]","[['M', 8, 10, 6, 2, 7], ['M', 5, 1, 9, 4, 3], ['M', 5, 1, 6, 4, 7], ['M', 8, 10, 9, 2, 3]]",99.29651052032929,"[5, 8, 10, 1, 6, 9, 4, 2, 3, 7]","[['M', 5, 10, 9, 2, 3], ['M', 8, 1, 6, 4, 7], ['M', 1, 6, 4, 2, 3], ['M', 5, 8, 10, 9, 7]]",3.832481861114502
20,139.09235386189943,"[10, 8, 6, 3, 9, 5, 1, 7, 2, 4]","[['M', 10, 6, 3, 9, 7], ['M', 8, 5, 1, 2, 4], ['M', 10, 8, 6, 9, 4], ['M', 3, 5, 1, 7, 2]]",63.08272452311165,"[8, 5, 10, 1, 9, 6, 2, 7, 3, 4]","[['M', 10, 9, 6, 7, 3], ['M', 8, 5, 1, 2, 4], ['M', 8, 10, 9, 6, 4], ['M', 5, 1, 2, 7, 3]]",61.761996570299566,"[8, 5, 10, 1, 9, 6, 2, 7, 3, 4]","[['M', 10, 9, 2, 7, 3], ['M', 8, 5, 1, 6, 4], ['M', 8, 5, 9, 6, 4], ['M', 10, 1, 2, 7, 3]]",3.8348984718322754
21,168.6433995030723,"[8, 6, 10, 7, 4, 1, 2, 3, 9, 5]","[['M', 8, 6, 10, 4, 9], ['M', 7, 1, 2, 3, 5], ['M', 8, 6, 9, 5], ['M', 10, 7, 4, 1, 2, 3]]",73.36152151197831,"[10, 3, 7, 1, 8, 6, 4, 9, 2, 5]","[['M', 10, 8, 6, 4, 9], ['M', 3, 7, 1, 2, 5], ['M', 8, 6, 9, 5], ['M', 10, 3, 7, 1, 4, 2]]",55.06145452085098,"[10, 3, 7, 1, 8, 6, 4, 9, 2, 5]","[['M', 10, 8, 6, 4, 9], ['M', 3, 7, 1, 2, 5], ['M', 8, 6, 4, 2], ['M', 10, 3, 7, 1, 9, 5]]",3.603842258453369
22,134.99301192762442,"[9, 10, 4, 6, 1, 5, 7, 8, 3, 2]","[['M', 10, 6, 5, 7, 8], [9, 4, 1, 3, 2, 'M'], ['M', 10, 4, 6, 1, 7, 3], ['M', 9, 5, 8, 2]]",100.40103817513273,"[9, 10, 5, 4, 1, 8, 7, 6, 2, 3]","[['M', 10, 5, 8, 7, 6], ['M', 9, 4, 1, 2, 3], ['M', 10, 4, 1, 7, 6, 3], ['M', 9, 5, 8, 2]]",99.17256622901488,"[9, 10, 5, 4, 1, 8, 7, 6, 2, 3]","[['M', 10, 5, 8, 7, 6], ['M', 9, 4, 1, 2, 3], ['M', 10, 5, 1, 7, 6, 3], ['M', 9, 4, 8, 2]]",4.49141263961792
23,229.56873313093192,"[7, 4, 10, 5, 1, 6, 2, 8, 9, 3]","[['M', 5, 1, 2, 8, 9], ['M', 7, 4, 10, 6, 3], ['M', 10, 5, 1, 6, 2], ['M', 7, 4, 8, 9, 3]]",126.4047684199883,"[1, 4, 7, 5, 2, 3, 9, 8, 10, 6]","[['M', 1, 5, 2, 9, 8], ['M', 4, 7, 3, 10, 6], ['M', 1, 5, 2, 10, 6], ['M', 4, 7, 3, 9, 8]]",121.10869518488744,"[1, 4, 7, 5, 2, 3, 9, 8, 10, 6]","[['M', 4, 5, 2, 9, 8], ['M', 1, 7, 3, 10, 6], ['M', 1, 5, 2, 10, 6], ['M', 4, 7, 3, 9, 8]]",3.012012481689453
24,163.32557380324272,"[5, 7, 2, 4, 9, 3, 6, 10, 8, 1]","[['M', 2, 4, 9, 6, 8], ['M', 5, 7, 3, 10, 1], ['M', 5, 7, 9, 3, 1], ['M', 2, 4, 6, 10, 8]]",117.42601019151377,"[7, 2, 4, 5, 3, 6, 9, 10, 8, 1]","[['M', 2, 4, 6, 9, 8], ['M', 7, 5, 3, 10, 1], ['M', 7, 5, 3, 9, 1], ['M', 2, 4, 6, 10, 8]]",109.23564867142238,"[7, 2, 4, 5, 3, 6, 9, 10, 8, 1]","[['M', 2, 4, 6, 9, 1], ['M', 7, 5, 3, 10, 8], ['M', 2, 5, 3, 9, 1], ['M', 7, 4, 6, 10, 8]]",3.5113308429718018
25,277.97615839979755,"[1, 8, 10, 5, 2, 7, 9, 3, 6, 4]","[['M', 5, 2, 9, 6, 4], ['M', 1, 8, 10, 7, 3], ['M', 1, 8, 2, 7, 9], ['M', 10, 5, 3, 6, 4]]",187.8499618763316,"[5, 8, 10, 4, 2, 1, 7, 3, 6, 9]","[['M', 5, 4, 2, 6, 9], ['M', 8, 10, 1, 7, 3], ['M', 8, 2, 1, 7, 9], ['M', 5, 10, 4, 3, 6]]",185.78567240273048,"[5, 8, 10, 4, 2, 1, 7, 3, 6, 9]","[['M', 5, 10, 2, 6, 9], ['M', 8, 4, 1, 7, 3], ['M', 8, 2, 1, 7, 9], ['M', 5, 10, 4, 3, 6]]",4.190039157867432
26,123.83809142363822,"[7, 9, 6, 1, 3, 8, 4, 10, 2, 5]","[['M', 7, 6, 1, 3, 4, 5], ['M', 9, 8, 10, 2], ['M', 9, 8, 4, 10], ['M', 7, 6, 1, 3, 2, 5]]",96.52996739855631,"[7, 9, 3, 4, 6, 2, 1, 10, 8, 5]","[['M', 7, 3, 4, 6, 1, 5], ['M', 9, 2, 10, 8], ['M', 9, 4, 10, 8], ['M', 7, 3, 6, 2, 1, 5]]",84.41351263188471,"[7, 9, 3, 4, 6, 2, 1, 10, 8, 5]","[['M', 7, 3, 4, 2, 1, 8], ['M', 9, 6, 10, 5], ['M', 9, 4, 10, 8], ['M', 7, 3, 6, 2, 1, 5]]",3.6494061946868896
27,133.72986632389396,"[1, 2, 10, 4, 5, 9, 3, 6, 7, 8]","[['M', 4, 5, 3, 7, 8], ['M', 1, 2, 10, 9, 6], ['M', 10, 5, 9, 3, 8], ['M', 1, 2, 4, 6, 7]]",59.343150146445105,"[5, 2, 1, 10, 4, 9, 3, 6, 7, 8]","[['M', 5, 4, 3, 7, 8], ['M', 2, 1, 10, 9, 6], ['M', 5, 10, 9, 3, 8], ['M', 2, 1, 4, 6, 7]]",59.2606720484161,"[5, 2, 1, 10, 4, 9, 3, 6, 7, 8]","[['M', 5, 4, 3, 7, 8], ['M', 2, 1, 10, 9, 6], ['M', 5, 10, 9, 6, 8], ['M', 2, 1, 4, 3, 7]]",2.947218418121338
28,123.54714924451233,"[9, 10, 6, 5, 3, 7, 2, 1, 4, 8]","[['M', 10, 5, 3, 4, 8], ['M', 9, 6, 7, 2, 1], ['M', 10, 6, 5, 1, 4, 8], ['M', 9, 3, 7, 2]]",71.32713528143111,"[9, 10, 5, 6, 2, 7, 4, 8, 3, 1]","[['M', 10, 5, 4, 8, 3], ['M', 9, 6, 2, 7, 1], ['M', 10, 5, 6, 4, 8, 1], ['M', 9, 2, 7, 3]]",71.32713528143111,"[9, 10, 5, 6, 2, 7, 4, 8, 3, 1]","[['M', 10, 5, 4, 8, 3], ['M', 9, 6, 2, 7, 1], ['M', 10, 5, 6, 4, 8, 1], ['M', 9, 2, 7, 3]]",4.397230863571167
29,152.26287246266287,"[3, 5, 7, 1, 10, 6, 9, 4, 8, 2]","[['M', 7, 1, 6, 4, 8], ['M', 3, 5, 10, 9, 2], ['M', 5, 10, 6, 9, 8], ['M', 3, 7, 1, 4, 2]]",127.38762051308134,"[7, 3, 6, 1, 10, 5, 9, 4, 8, 2]","[['M', 7, 6, 1, 4, 8], ['M', 3, 10, 5, 9, 2], ['M', 6, 10, 5, 9, 8], ['M', 7, 3, 1, 4, 2]]",126.58186396435967,"[7, 3, 6, 1, 10, 5, 9, 4, 8, 2]","[['M', 7, 6, 1, 4, 8], ['M', 3, 10, 5, 9, 2], ['M', 6, 10, 5, 9, 2], ['M', 7, 3, 1, 4, 8]]",3.6940574645996094
30,73.87891483584168,"[10, 2, 4, 1, 8, 9, 3, 7, 5, 6]","[['M', 10, 1, 3, 7, 6], ['M', 2, 4, 8, 9, 5], ['M', 10, 4, 1, 3], ['M', 2, 8, 9, 7, 5, 6]]",68.00120244273447,"[10, 1, 3, 2, 5, 9, 4, 7, 8, 6]","[['M', 10, 1, 3, 7, 6], ['M', 2, 5, 9, 4, 8], ['M', 10, 1, 3, 4], ['M', 2, 5, 9, 7, 8, 6]]",50.80357191278202,"[10, 1, 3, 2, 5, 9, 4, 7, 8, 6]","[['M', 1, 3, 9, 7, 6], ['M', 10, 2, 5, 4, 8], ['M', 1, 3, 4, 7], ['M', 10, 2, 5, 9, 8, 6]]",3.918625831604004
31,,,,,,,,,,
32,,,,,,,,,,
33,,,,,,,,,,
34,,,,,,,,,,
35,,,,,,,,,,
36,,,,,,,,,,
37,,,,,,,,,,
38,,,,,,,,,,
39,,,,,,,,,,
40,,,,,,,,,,
41,,,,,,,,,,
42,,,,,,,,,,
43,,,,,,,,,,
44,,,,,,,,,,
45,,,,,,,,,,
46,,,,,,,,,,
47,,,,,,,,,,
48,,,,,,,,,,
49,,,,,,,,,,
50,,,,,,,,,,
