,initial objective value,initial shared job order,initial schedule,process objective value,process shared job order,process schedule,final objective value,final shared job order,final schedule,time
1,118.09612237513005,"[2, 6, 10, 4, 7, 9, 1, 8, 5, 3]","[['M', 2, 10, 7, 1, 8], [6, 4, 9, 5, 3, 'M'], ['M', 6, 4, 9, 8, 3], ['M', 2, 10, 7, 1, 5]]",75.68330663616491,"[4, 6, 1, 10, 5, 8, 2, 9, 7, 3]","[['M', 1, 10, 8, 2, 7], ['M', 4, 6, 5, 9, 3], ['M', 4, 6, 8, 9, 3], ['M', 1, 10, 5, 2, 7]]",70.5128901183596,"[4, 6, 1, 10, 5, 8, 2, 9, 7, 3]","[['M', 1, 10, 8, 2, 7], ['M', 4, 6, 5, 9, 3], ['M', 4, 1, 8, 2, 7], ['M', 6, 10, 5, 9, 3]]",0.7196311950683594
2,347.6610105175668,"[8, 10, 7, 4, 9, 2, 3, 6, 5, 1]","[['M', 10, 7, 9, 2, 5, 1], ['M', 8, 4, 3, 6], ['M', 8, 10, 7, 4, 6], ['M', 9, 2, 3, 5, 1]]",227.9512340614047,"[3, 7, 5, 10, 6, 1, 9, 8, 2, 4]","[['M', 7, 5, 10, 1, 9, 2], ['M', 3, 6, 8, 4], ['M', 7, 10, 6, 8, 4], ['M', 3, 5, 1, 9, 2]]",227.80971626643748,"[3, 7, 5, 10, 6, 1, 9, 8, 2, 4]","[['M', 7, 5, 10, 1, 9, 2], ['M', 3, 6, 8, 4], ['M', 7, 10, 6, 9, 4], ['M', 3, 5, 1, 8, 2]]",0.4098670482635498
3,285.27549242657386,"[1, 7, 5, 8, 6, 2, 10, 3, 9, 4]","[['M', 5, 8, 6, 3, 9, 4], ['M', 1, 7, 2, 10], ['M', 6, 2, 10, 3], ['M', 1, 7, 5, 8, 9, 4]]",125.27134871103266,"[8, 3, 7, 4, 1, 6, 10, 5, 9, 2]","[['M', 8, 3, 4, 6, 5, 9], ['M', 7, 1, 10, 2], ['M', 3, 6, 10, 2], ['M', 8, 7, 4, 1, 5, 9]]",125.27134871103266,"[8, 3, 7, 4, 1, 6, 10, 5, 9, 2]","[['M', 8, 3, 4, 6, 5, 9], ['M', 7, 1, 10, 2], ['M', 3, 6, 10, 2], ['M', 8, 7, 4, 1, 5, 9]]",0.3338489532470703
4,232.79582083304044,"[10, 7, 9, 1, 6, 8, 5, 3, 4, 2]","[['M', 10, 7, 9, 6, 8], ['M', 1, 5, 3, 4, 2], ['M', 10, 9, 8, 5, 3, 4], ['M', 7, 1, 6, 2]]",118.57123507079329,"[4, 7, 10, 1, 9, 5, 6, 3, 8, 2]","[['M', 7, 10, 9, 6, 8], ['M', 4, 1, 5, 3, 2], ['M', 4, 10, 9, 5, 3, 8], ['M', 7, 1, 6, 2]]",112.17305100226535,"[4, 7, 10, 1, 9, 5, 6, 3, 8, 2]","[['M', 4, 7, 9, 6, 8], ['M', 10, 1, 5, 3, 2], ['M', 4, 10, 9, 6, 3, 2], ['M', 7, 1, 5, 8]]",0.48180294036865234
5,172.77128217223344,"[5, 4, 10, 6, 7, 9, 2, 3, 8, 1]","[['M', 4, 7, 9, 2, 1], ['M', 5, 10, 6, 3, 8], ['M', 4, 10, 9, 2, 1], ['M', 5, 6, 7, 3, 8]]",131.24185638698322,"[7, 4, 9, 6, 8, 10, 2, 3, 5, 1]","[['M', 7, 4, 9, 2, 1], ['M', 6, 8, 10, 3, 5], ['M', 4, 9, 10, 2, 1], ['M', 7, 6, 8, 3, 5]]",113.51764760257689,"[7, 4, 9, 6, 8, 10, 2, 3, 5, 1]","[['M', 7, 4, 10, 3, 5], ['M', 9, 6, 8, 2, 1], ['M', 7, 4, 10, 2, 1], ['M', 9, 6, 8, 3, 5]]",0.3308529853820801
6,163.1225904579172,"[9, 10, 3, 5, 2, 1, 4, 7, 8, 6]","[['M', 9, 5, 2, 1, 6], ['M', 10, 3, 4, 7, 8], ['M', 9, 10, 3, 5, 6], ['M', 2, 1, 4, 7, 8]]",81.43389341849138,"[9, 10, 1, 3, 2, 4, 5, 7, 8, 6]","[['M', 9, 1, 2, 5, 6], ['M', 10, 3, 4, 7, 8], ['M', 9, 10, 3, 5, 6], ['M', 1, 2, 4, 7, 8]]",76.48381848328498,"[9, 10, 1, 3, 2, 4, 5, 7, 8, 6]","[['M', 9, 1, 3, 5, 6], ['M', 10, 2, 4, 7, 8], ['M', 9, 10, 2, 4, 6], ['M', 1, 3, 5, 7, 8]]",0.4075918197631836
7,147.55673895861608,"[7, 9, 10, 6, 3, 4, 1, 2, 5, 8]","[['M', 6, 3, 4, 1, 2], ['M', 7, 9, 10, 5, 8], ['M', 6, 3, 4, 1, 8], ['M', 7, 9, 10, 2, 5]]",101.22745323445054,"[10, 9, 4, 6, 1, 7, 3, 5, 2, 8]","[['M', 4, 6, 1, 3, 2], ['M', 10, 9, 7, 5, 8], ['M', 4, 6, 1, 3, 8], ['M', 10, 9, 7, 5, 2]]",99.78099380835795,"[10, 9, 4, 6, 1, 7, 3, 5, 2, 8]","[['M', 4, 6, 1, 3, 2], ['M', 10, 9, 7, 5, 8], ['M', 4, 6, 1, 3, 2], ['M', 10, 9, 7, 5, 8]]",0.4282190799713135
8,170.3659220574004,"[10, 4, 1, 2, 3, 8, 7, 9, 6, 5]","[['M', 4, 2, 3, 8, 7, 9], ['M', 10, 1, 6, 5], ['M', 4, 2, 8, 9, 6], ['M', 10, 1, 3, 7, 5]]",100.97446865078356,"[3, 2, 10, 4, 1, 8, 5, 6, 9, 7]","[['M', 3, 2, 4, 8, 9, 7], ['M', 10, 1, 5, 6], ['M', 2, 4, 8, 6, 9], ['M', 3, 10, 1, 5, 7]]",96.73170322928857,"[3, 2, 10, 4, 1, 8, 5, 6, 9, 7]","[['M', 3, 2, 4, 8, 9, 7], ['M', 10, 1, 5, 6], ['M', 2, 4, 5, 6, 7], ['M', 3, 10, 1, 8, 9]]",0.40540003776550293
9,293.6147014826244,"[7, 1, 9, 6, 4, 8, 3, 2, 5, 10]","[['M', 7, 1, 6, 4], ['M', 9, 8, 3, 2, 5, 10], ['M', 9, 4, 8, 3, 2, 10], ['M', 7, 1, 6, 5]]",115.73949232272301,"[9, 1, 2, 6, 3, 8, 10, 7, 5, 4]","[['M', 1, 6, 7, 4], ['M', 9, 2, 3, 8, 10, 5], ['M', 9, 2, 3, 8, 10, 4], ['M', 1, 6, 7, 5]]",106.19665148210939,"[9, 1, 2, 6, 3, 8, 10, 7, 5, 4]","[['M', 6, 8, 7, 5], ['M', 9, 1, 2, 3, 10, 4], ['M', 1, 2, 3, 8, 7, 4], ['M', 9, 6, 10, 5]]",0.5051052570343018
10,53.63236169457688,"[1, 2, 3, 5, 9, 8, 10, 7, 4, 6]","[['M', 1, 3, 7, 4, 6], ['M', 2, 5, 9, 8, 10], ['M', 1, 2, 5, 7, 6], ['M', 3, 9, 8, 10, 4]]",22.223377885868377,"[1, 9, 2, 5, 3, 4, 8, 7, 10, 6]","[['M', 1, 3, 4, 7, 6], ['M', 9, 2, 5, 8, 10], ['M', 1, 2, 5, 7, 6], ['M', 9, 3, 4, 8, 10]]",19.47505732493705,"[1, 9, 2, 5, 3, 4, 8, 7, 10, 6]","[['M', 1, 3, 4, 7, 6], ['M', 9, 2, 5, 8, 10], ['M', 9, 2, 5, 7, 10], ['M', 1, 3, 4, 8, 6]]",0.5101490020751953
