,stage1_machine,stage1_start,stage1_end,stage2_machine,stage2_start,stage2_end
1,2,56.818907086572075,66.39348378404217,2,69.76447632685151,81.31314346098198
2,1,46.98187021489562,59.78781286798903,1,61.98487382186713,68.11593904797834
3,1,29.457948689609896,39.567903415736275,2,40.44862898636649,50.2205780998615
4,1,59.78781286798903,77.98573137501651,1,77.98573137501651,84.11679660112772
5,1,39.567903415736275,46.98187021489562,2,50.2205780998615,69.76447632685151
6,2,6.0,15.5745766974701,2,15.5745766974701,36.006833934777845
7,2,42.82529499026962,56.818907086572075,1,58.15295805554763,61.98487382186713
8,1,18.0,29.457948689609896,1,29.457948689609896,37.888163375512804
9,2,15.5745766974701,35.460235992215694,2,36.006833934777845,40.44862898636649
10,2,35.460235992215694,42.82529499026962,1,42.82529499026962,58.15295805554763
