,initial objective value,initial shared job order,initial schedule,process objective value,process shared job order,process schedule,final objective value,final shared job order,final schedule,time
1,,,,,,,,,,
2,,,,,,,,,,
3,285.27549242657386,"[1, 7, 5, 8, 6, 2, 10, 3, 9, 4]","[['M', 5, 8, 6, 3, 9, 4], ['M', 1, 7, 2, 10], ['M', 6, 2, 10, 3], ['M', 1, 7, 5, 8, 9, 4]]",125.27134871103266,"[8, 3, 7, 4, 1, 6, 10, 5, 9, 2]","[['M', 8, 3, 4, 6, 5, 9], ['M', 7, 1, 10, 2], ['M', 3, 6, 10, 2], ['M', 8, 7, 4, 1, 5, 9]]",125.27134871103266,"[8, 3, 7, 4, 1, 6, 10, 5, 9, 2]","[['M', 8, 3, 4, 6, 5, 9], ['M', 7, 1, 10, 2], ['M', 3, 6, 10, 2], ['M', 8, 7, 4, 1, 5, 9]]",3.1536788940429688
4,,,,,,,,,,
5,,,,,,,,,,
6,,,,,,,,,,
7,,,,,,,,,,
8,,,,,,,,,,
9,,,,,,,,,,
10,,,,,,,,,,
11,,,,,,,,,,
12,,,,,,,,,,
13,,,,,,,,,,
14,,,,,,,,,,
15,,,,,,,,,,
16,,,,,,,,,,
17,,,,,,,,,,
18,,,,,,,,,,
19,,,,,,,,,,
20,,,,,,,,,,
21,,,,,,,,,,
22,,,,,,,,,,
23,,,,,,,,,,
24,,,,,,,,,,
25,,,,,,,,,,
26,,,,,,,,,,
27,,,,,,,,,,
28,,,,,,,,,,
29,,,,,,,,,,
30,,,,,,,,,,
31,,,,,,,,,,
32,,,,,,,,,,
33,,,,,,,,,,
34,,,,,,,,,,
35,,,,,,,,,,
36,,,,,,,,,,
37,,,,,,,,,,
38,,,,,,,,,,
39,,,,,,,,,,
40,,,,,,,,,,
41,,,,,,,,,,
42,,,,,,,,,,
43,,,,,,,,,,
44,,,,,,,,,,
45,,,,,,,,,,
46,,,,,,,,,,
47,,,,,,,,,,
48,,,,,,,,,,
49,,,,,,,,,,
50,,,,,,,,,,
