,initial objective value,initial shared job order,initial schedule,process objective value,process shared job order,process schedule,final objective value,final shared job order,final schedule,time
1,433.3489960212348,"[2, 8, 4, 7, 3, 6, 9, 1, 5]","[[2, 8, 4, 7, 6, 'M', 5], [3, 'M', 9, 1], [8, 4, 6, 9, 5, 'M'], [2, 'M', 7], [3, 1, 'M'], [2, 4, 6, 5, 'M'], [8, 'M', 7, 3, 9, 1], ['M', 7, 3, 9, 5], ['M', 2, 8, 4, 6, 1], [2, 8, 4, 'M', 5], [3, 9, 'M'], [7, 6, 'M', 1]]",316.3781704460297,"[2, 9, 6, 5, 1, 4, 3, 7, 8]","[[2, 6, 5, 4, 7, 8, 'M'], [9, 1, 3, 'M'], [9, 6, 5, 4, 8, 'M'], [2, 'M', 7], [1, 3, 'M'], [2, 6, 5, 4, 'M'], ['M', 9, 1, 3, 7, 8], ['M', 9, 5, 3, 7], ['M', 2, 6, 1, 4, 8], [2, 'M', 5, 4, 8], [9, 3, 'M'], ['M', 6, 1, 7]]",316.3781704460297,"[2, 9, 6, 5, 1, 4, 3, 7, 8]","[[2, 6, 5, 4, 7, 8, 'M'], [9, 1, 3, 'M'], [9, 6, 5, 4, 8, 'M'], [2, 'M', 7], [1, 3, 'M'], [2, 6, 5, 4, 'M'], ['M', 9, 1, 3, 7, 8], ['M', 9, 5, 3, 7], ['M', 2, 6, 1, 4, 8], [2, 'M', 5, 4, 8], [9, 3, 'M'], ['M', 6, 1, 7]]",0.11619806289672852
2,154.90794516887047,"[1, 6, 4, 5, 3, 2, 7]","[[1, 'M'], [6, 4, 5, 3, 2, 7, 'M'], [1, 'M', 5, 3, 2, 7], [6, 4, 'M'], ['M', 1, 5, 2], ['M', 6, 4, 3, 7]]",149.53385045433066,"[1, 6, 4, 2, 5, 3, 7]","[[1, 'M'], [6, 4, 2, 5, 3, 7, 'M'], [1, 'M', 2, 5, 3, 7], [6, 4, 'M'], ['M', 1, 2, 5], [6, 4, 3, 'M', 7]]",149.53385045433066,"[1, 6, 4, 2, 5, 3, 7]","[[1, 'M'], [6, 4, 2, 5, 3, 7, 'M'], [1, 'M', 2, 5, 3, 7], [6, 4, 'M'], ['M', 1, 2, 5], [6, 4, 3, 'M', 7]]",0.010275840759277344
3,442.4736109408997,"[3, 1, 9, 2, 4, 6, 7, 8, 5]","[[3, 1, 'M', 9, 7, 5], ['M', 2, 4, 6, 8], [3, 6, 5, 'M'], [1, 9, 2, 4, 7, 8, 'M'], ['M', 3, 1, 9, 2, 4, 6, 7, 8, 5]]",277.06159329654616,"[6, 9, 4, 5, 8, 2, 7, 1, 3]","[[9, 5, 'M', 7, 1, 3], ['M', 6, 4, 8, 2], [6, 5, 3, 'M'], [9, 4, 8, 2, 7, 1, 'M'], ['M', 6, 9, 4, 5, 8, 2, 7, 1, 3]]",277.06159329654616,"[6, 9, 4, 5, 8, 2, 7, 1, 3]","[[9, 5, 'M', 7, 1, 3], ['M', 6, 4, 8, 2], [6, 5, 3, 'M'], [9, 4, 8, 2, 7, 1, 'M'], ['M', 6, 9, 4, 5, 8, 2, 7, 1, 3]]",0.014417171478271484
4,51.04290343494665,"[6, 1, 2, 5, 4, 3]","[[6, 1, 2, 5, 4, 3, 'M'], [6, 'M', 1, 2, 5, 4, 3], ['M', 6, 2, 4, 3], [1, 'M', 5]]",51.04290343494665,"[6, 1, 2, 5, 4, 3]","[[6, 1, 2, 5, 4, 3, 'M'], [6, 'M', 1, 2, 5, 4, 3], ['M', 6, 2, 4, 3], [1, 'M', 5]]",51.04290343494665,"[6, 1, 2, 5, 4, 3]","[[6, 1, 2, 5, 4, 3, 'M'], [6, 'M', 1, 2, 5, 4, 3], ['M', 6, 2, 4, 3], [1, 'M', 5]]",0.0032651424407958984
5,99.13373410979221,"[1, 4, 2, 3, 5]","[[1, 4, 2, 3, 5, 'M'], ['M', 1, 4, 3], ['M', 2, 5], ['M', 2, 3], [1, 4, 'M', 5], ['M'], [1, 4, 2, 3, 5, 'M'], ['M', 1, 4, 2, 3, 5]]",75.71750222964965,"[1, 4, 5, 3, 2]","[[1, 4, 5, 3, 2, 'M'], ['M', 1, 4, 3], [5, 'M', 2], [3, 2, 'M'], [1, 'M', 4, 5], ['M'], [1, 4, 5, 3, 2, 'M'], ['M', 1, 4, 5, 3, 2]]",75.71750222964965,"[1, 4, 5, 3, 2]","[[1, 4, 5, 3, 2, 'M'], ['M', 1, 4, 3], [5, 'M', 2], [3, 2, 'M'], [1, 'M', 4, 5], ['M'], [1, 4, 5, 3, 2, 'M'], ['M', 1, 4, 5, 3, 2]]",0.014423131942749023
6,704.5639924673967,"[2, 7, 5, 8, 4, 1, 9, 3, 6]","[[2, 5, 'M', 3], [7, 8, 4, 1, 'M', 9, 6], [7, 5, 8, 1, 'M', 3], [2, 4, 'M'], [9, 'M', 6], ['M', 2, 7, 5, 8, 3, 6], [4, 1, 9, 'M'], [6, 'M'], [3, 'M'], ['M', 2, 7, 5, 8, 4, 1, 9], [2, 1, 9, 'M'], ['M', 7, 5, 8, 4, 3, 6]]",478.1786014784222,"[5, 8, 2, 1, 3, 4, 7, 9, 6]","[[5, 2, 3, 'M'], [8, 1, 4, 7, 9, 6, 'M'], [5, 8, 1, 3, 'M', 7], [2, 4, 'M'], ['M', 9, 6], ['M', 5, 8, 2, 3, 7, 6], [1, 4, 9, 'M'], [6, 'M'], [3, 'M'], ['M', 5, 8, 2, 1, 4, 7, 9], [2, 1, 'M', 9], ['M', 5, 8, 3, 4, 7, 6]]",478.1786014784222,"[5, 8, 2, 1, 3, 4, 7, 9, 6]","[[5, 2, 3, 'M'], [8, 1, 4, 7, 9, 6, 'M'], [5, 8, 1, 3, 'M', 7], [2, 4, 'M'], ['M', 9, 6], ['M', 5, 8, 2, 3, 7, 6], [1, 4, 9, 'M'], [6, 'M'], [3, 'M'], ['M', 5, 8, 2, 1, 4, 7, 9], [2, 1, 'M', 9], ['M', 5, 8, 3, 4, 7, 6]]",0.06677079200744629
7,49.71571186562488,"[2, 1, 3, 7, 5, 8, 4, 6, 9]","[['M', 2, 1, 3, 7, 5, 8, 4, 6, 9], [1, 'M'], ['M', 3, 8, 6, 9], [2, 'M', 7, 5, 4], ['M', 2, 1, 3, 7, 5, 8, 4, 6, 9]]",36.01413236425838,"[2, 3, 1, 7, 5, 8, 9, 6, 4]","[['M', 2, 3, 1, 7, 5, 8, 9, 6, 4], [1, 'M'], ['M', 3, 8, 9, 6], [2, 'M', 7, 5, 4], ['M', 2, 3, 1, 7, 5, 8, 9, 6, 4]]",36.01413236425838,"[2, 3, 1, 7, 5, 8, 9, 6, 4]","[['M', 2, 3, 1, 7, 5, 8, 9, 6, 4], [1, 'M'], ['M', 3, 8, 9, 6], [2, 'M', 7, 5, 4], ['M', 2, 3, 1, 7, 5, 8, 9, 6, 4]]",0.011347770690917969
8,311.2742589133745,"[7, 1, 3, 5, 6, 4, 2]","[[7, 1, 3, 5, 6, 4, 2, 'M'], ['M', 3, 2], ['M', 7, 1, 5, 6, 4], ['M', 6, 4], ['M', 7, 1, 3, 5, 2], ['M', 1, 5, 4], ['M', 7, 3, 6, 2], ['M', 6, 4, 2], [7, 'M'], [1, 3, 5, 'M']]",206.92471927896537,"[7, 5, 6, 3, 4, 2, 1]","[[7, 5, 6, 3, 4, 2, 1, 'M'], [3, 'M', 2], [7, 5, 6, 4, 1, 'M'], ['M', 6, 4], [7, 5, 3, 'M', 2, 1], ['M', 5, 4, 1], ['M', 7, 6, 3, 2], ['M', 6, 4, 2], [7, 'M'], [5, 3, 'M', 1]]",206.92471927896537,"[7, 5, 6, 3, 4, 2, 1]","[[7, 5, 6, 3, 4, 2, 1, 'M'], [3, 'M', 2], [7, 5, 6, 4, 1, 'M'], ['M', 6, 4], [7, 5, 3, 'M', 2, 1], ['M', 5, 4, 1], ['M', 7, 6, 3, 2], ['M', 6, 4, 2], [7, 'M'], [5, 3, 'M', 1]]",0.03335690498352051
9,351.33084172837107,"[3, 5, 2, 1, 4, 6]","[[2, 'M', 1, 6], [5, 4, 'M'], [3, 'M'], [3, 2, 1, 6, 'M'], [5, 'M', 4], [3, 1, 'M'], ['M', 5, 2, 4, 6], ['M', 3, 5, 2, 1, 4, 6]]",331.579650359611,"[3, 1, 6, 5, 4, 2]","[[1, 'M', 6, 2], [5, 4, 'M'], [3, 'M'], [3, 1, 6, 2, 'M'], [5, 'M', 4], [3, 1, 'M'], ['M', 6, 5, 4, 2], ['M', 3, 1, 6, 5, 4, 2]]",331.579650359611,"[3, 1, 6, 5, 4, 2]","[[1, 'M', 6, 2], [5, 4, 'M'], [3, 'M'], [3, 1, 6, 2, 'M'], [5, 'M', 4], [3, 1, 'M'], ['M', 6, 5, 4, 2], ['M', 3, 1, 6, 5, 4, 2]]",0.007670879364013672
10,140.0544100607409,"[8, 6, 4, 5, 2, 1, 7, 9, 3]","[[8, 6, 4, 5, 2, 1, 'M', 7, 9, 3], [8, 4, 'M', 1], ['M', 6, 5, 2, 7, 9, 3], [8, 6, 4, 5, 2, 1, 7, 9, 3, 'M'], ['M', 4, 1, 3], ['M', 8, 6, 5, 2, 7, 9]]",57.88918802443919,"[8, 7, 4, 6, 2, 5, 3, 9, 1]","[[8, 7, 4, 6, 2, 5, 3, 9, 1, 'M'], [8, 4, 'M', 1], ['M', 7, 6, 2, 5, 3, 9], [8, 7, 4, 6, 2, 5, 3, 9, 1, 'M'], ['M', 4, 3, 1], ['M', 8, 7, 6, 2, 5, 9]]",57.88918802443919,"[8, 7, 4, 6, 2, 5, 3, 9, 1]","[[8, 7, 4, 6, 2, 5, 3, 9, 1, 'M'], [8, 4, 'M', 1], ['M', 7, 6, 2, 5, 3, 9], [8, 7, 4, 6, 2, 5, 3, 9, 1, 'M'], ['M', 4, 3, 1], ['M', 8, 7, 6, 2, 5, 9]]",0.027086734771728516
