Stage 1, Machine 1 and Machine 2, Swap 7 and 3, Objective Value 346.1902421409211 | not improved!
Stage 1, Machine 1 and Machine 2, Swap 4 and 3, Objective Value 385.14298709557556 | not improved!
Stage 1, Machine 1 and Machine 2, Swap 5 and 3, Objective Value 369.99110643148674 | not improved!
Stage 1, Machine 1 and Machine 2, Swap 10 and 3, Objective Value 371.3653271283055 | not improved!
Stage 1, Machine 1 and Machine 2, Swap 8 and 3, Objective Value 392.3302715589372 | not improved!
Stage 1, Machine 1 and Machine 2, Swap 14 and 3, Objective Value 394.22135770402275 | not improved!
Stage 1, Machine 1 and Machine 2, Swap 13 and 3, Objective Value 381.14379899325957 | not improved!
Stage 1, Machine 1 and Machine 2, Swap 7 and 9, Objective Value 380.1741018585393 | not improved!
Stage 1, Machine 1 and Machine 2, Swap 4 and 9, Objective Value 346.8349118241338 | not improved!
Stage 1, Machine 1 and Machine 2, Swap 5 and 9, Objective Value 416.2358797330338 | not improved!
Stage 1, Machine 1 and Machine 2, Swap 10 and 9, Objective Value 419.3385292546667 | not improved!
Stage 1, Machine 1 and Machine 2, Swap 8 and 9, Objective Value 424.79731921348275 | not improved!
Stage 1, Machine 1 and Machine 2, Swap 14 and 9, Objective Value 455.36903316040275 | not improved!
Stage 1, Machine 1 and Machine 2, Swap 13 and 9, Objective Value 440.5060262161397 | not improved!
Stage 1, Machine 1 and Machine 2, Swap 7 and 11, Objective Value 425.4733119165484 | not improved!
Stage 1, Machine 1 and Machine 2, Swap 4 and 11, Objective Value 444.07636413164136 | not improved!
Stage 1, Machine 1 and Machine 2, Swap 5 and 11, Objective Value 410.4977128243008 | not improved!
Stage 1, Machine 1 and Machine 2, Swap 10 and 11, Objective Value 376.498684393888 | not improved!
Stage 1, Machine 1 and Machine 2, Swap 8 and 11, Objective Value 423.5790836888206 | not improved!
Stage 1, Machine 1 and Machine 2, Swap 14 and 11, Objective Value 484.7775944950076 | not improved!
Stage 1, Machine 1 and Machine 2, Swap 13 and 11, Objective Value 471.70003578424433 | not improved!
Stage 1, Machine 1 and Machine 2, Swap 7 and 2, Objective Value 407.9769452485152 | not improved!
Stage 1, Machine 1 and Machine 2, Swap 4 and 2, Objective Value 480.86140175110137 | not improved!
Stage 1, Machine 1 and Machine 2, Swap 5 and 2, Objective Value 406.85037870757407 | not improved!
Stage 1, Machine 1 and Machine 2, Swap 10 and 2, Objective Value 369.1448275727314 | not improved!
Stage 1, Machine 1 and Machine 2, Swap 8 and 2, Objective Value 344.18396440955723 | not improved!
Stage 1, Machine 1 and Machine 2, Swap 14 and 2, Objective Value 454.0983450642807 | not improved!
Stage 1, Machine 1 and Machine 2, Swap 13 and 2, Objective Value 441.0207863535174 | not improved!
Stage 1, Machine 1 and Machine 2, Swap 7 and 12, Objective Value 388.57821150092843 | not improved!
Stage 1, Machine 1 and Machine 2, Swap 4 and 12, Objective Value 461.6238973864386 | not improved!
Stage 1, Machine 1 and Machine 2, Swap 5 and 12, Objective Value 388.08768102822756 | not improved!
Stage 1, Machine 1 and Machine 2, Swap 10 and 12, Objective Value 393.565318718777 | not improved!
Stage 1, Machine 1 and Machine 2, Swap 8 and 12, Objective Value 437.8361666102296 | not improved!
Stage 1, Machine 1 and Machine 2, Swap 14 and 12, Objective Value 344.72373987477897 | not improved!
Stage 1, Machine 1 and Machine 2, Swap 13 and 12, Objective Value 411.43967791281796 | not improved!
Stage 1, Machine 1 and Machine 2, Swap 7 and 1, Objective Value 368.12997233125066 | not improved!
Stage 1, Machine 1 and Machine 2, Swap 4 and 1, Objective Value 441.58278651200015 | not improved!
Stage 1, Machine 1 and Machine 2, Swap 5 and 1, Objective Value 372.24218413508447 | not improved!
Stage 1, Machine 1 and Machine 2, Swap 10 and 1, Objective Value 396.1274243177753 | not improved!
Stage 1, Machine 1 and Machine 2, Swap 8 and 1, Objective Value 397.99282635803866 | not improved!
Stage 1, Machine 1 and Machine 2, Swap 14 and 1, Objective Value 380.16321297619857 | not improved!
Stage 1, Machine 1 and Machine 2, Swap 13 and 1, Objective Value 349.70614166578514 | not improved!
Stage 1, Machine 1 and Machine 2, Swap 7 and 6, Objective Value 368.12997233125066 | not improved!
Stage 1, Machine 1 and Machine 2, Swap 4 and 6, Objective Value 441.58278651200015 | not improved!
Stage 1, Machine 1 and Machine 2, Swap 5 and 6, Objective Value 372.24218413508447 | not improved!
Stage 1, Machine 1 and Machine 2, Swap 10 and 6, Objective Value 398.8196258622202 | not improved!
Stage 1, Machine 1 and Machine 2, Swap 8 and 6, Objective Value 403.4267814543956 | not improved!
Stage 1, Machine 1 and Machine 2, Swap 14 and 6, Objective Value 390.82334078095636 | not improved!
Stage 1, Machine 1 and Machine 2, Swap 13 and 6, Objective Value 344.72373987477897 | not improved!
