,initial objective value,initial shared job order,initial schedule,process objective value,process shared job order,process schedule,final objective value,final shared job order,final schedule,time
1,669.006932245479,"[3, 6, 1, 9, 5, 7, 2, 4, 8]","[['M', 1, 7, 4], ['M'], [3, 6, 9, 5, 2, 8, 'M'], ['M', 2, 4, 8], [6, 1, 9, 7, 'M'], [3, 5, 'M'], ['M', 9, 7], ['M', 3, 2, 4, 8], ['M', 6, 1, 5], [3, 6, 1, 'M', 4, 8], ['M', 9, 5, 7, 2]]",388.2622132276781,"[3, 8, 5, 2, 6, 7, 9, 4, 1]","[[7, 'M', 4, 1], ['M'], [3, 8, 5, 2, 6, 9, 'M'], ['M', 8, 2, 4], ['M', 6, 7, 9, 1], [3, 5, 'M'], ['M', 7, 9], ['M', 3, 8, 2, 4], ['M', 5, 6, 1], [3, 8, 6, 'M', 4, 1], ['M', 5, 2, 7, 9]]",388.2622132276781,"[3, 8, 5, 2, 6, 7, 9, 4, 1]","[[7, 'M', 4, 1], ['M'], [3, 8, 5, 2, 6, 9, 'M'], ['M', 8, 2, 4], ['M', 6, 7, 9, 1], [3, 5, 'M'], ['M', 7, 9], ['M', 3, 8, 2, 4], ['M', 5, 6, 1], [3, 8, 6, 'M', 4, 1], ['M', 5, 2, 7, 9]]",0.06675505638122559
2,495.42989722086315,"[3, 5, 1, 4, 2, 6, 7]","[['M', 2, 7], [3, 5, 1, 4, 6, 'M'], ['M', 3, 1, 4, 2, 6, 7], ['M', 5], ['M', 5, 1, 2, 6, 7], [3, 4, 'M'], ['M', 1, 4, 2, 6, 7], ['M', 3, 5], ['M', 1], ['M', 3, 5, 4, 2, 6, 7]]",309.26348276857885,"[4, 1, 7, 6, 2, 5, 3]","[[7, 2, 'M'], [4, 1, 6, 5, 3, 'M'], ['M', 4, 1, 7, 6, 2, 3], ['M', 5], ['M', 1, 7, 6, 2, 5], [4, 'M', 3], ['M', 4, 1, 7, 6, 2], ['M', 5, 3], ['M', 1], ['M', 4, 7, 6, 2, 5, 3]]",309.26348276857885,"[4, 1, 7, 6, 2, 5, 3]","[[7, 2, 'M'], [4, 1, 6, 5, 3, 'M'], ['M', 4, 1, 7, 6, 2, 3], ['M', 5], ['M', 1, 7, 6, 2, 5], [4, 'M', 3], ['M', 4, 1, 7, 6, 2], ['M', 5, 3], ['M', 1], ['M', 4, 7, 6, 2, 5, 3]]",0.03189992904663086
3,234.9855816547998,"[5, 6, 4, 7, 3, 1, 2]","[[5, 6, 'M', 4, 7, 3, 1, 2], [6, 'M'], ['M', 5, 4, 7, 3, 1, 2], ['M', 5, 6, 4, 7, 3, 1, 2]]",143.6220902876916,"[4, 6, 3, 7, 1, 2, 5]","[[4, 6, 'M', 3, 7, 1, 2, 5], [6, 'M'], [4, 'M', 3, 7, 1, 2, 5], ['M', 4, 6, 3, 7, 1, 2, 5]]",143.6220902876916,"[4, 6, 3, 7, 1, 2, 5]","[[4, 6, 'M', 3, 7, 1, 2, 5], [6, 'M'], [4, 'M', 3, 7, 1, 2, 5], ['M', 4, 6, 3, 7, 1, 2, 5]]",0.00996708869934082
4,380.1174203244499,"[2, 6, 1, 4, 3, 5]","[['M', 4, 5], [2, 6, 'M', 1, 3], ['M', 6, 4, 3, 5], [2, 1, 'M'], ['M', 2, 1, 4], ['M', 3], [6, 5, 'M'], ['M', 3], ['M', 2, 6, 1, 4, 5]]",239.35912452571392,"[4, 5, 2, 6, 3, 1]","[[4, 5, 'M'], [2, 6, 'M', 3, 1], [4, 5, 'M', 6, 3], [2, 1, 'M'], ['M', 4, 2, 1], ['M', 3], [5, 6, 'M'], ['M', 3], ['M', 4, 5, 2, 6, 1]]",239.35912452571392,"[4, 5, 2, 6, 3, 1]","[[4, 5, 'M'], [2, 6, 'M', 3, 1], [4, 5, 'M', 6, 3], [2, 1, 'M'], ['M', 4, 2, 1], ['M', 3], [5, 6, 'M'], ['M', 3], ['M', 4, 5, 2, 6, 1]]",0.012898683547973633
5,267.56781467433143,"[1, 5, 2, 3, 6, 4]","[['M', 2, 3, 4], ['M'], [1, 5, 6, 'M'], [5, 3, 6, 4, 'M'], ['M'], [1, 2, 'M'], ['M', 1, 5, 2, 3, 6, 4], ['M', 1, 5, 2, 3, 4], ['M', 6]]",244.3748694071988,"[1, 5, 2, 4, 6, 3]","[['M', 2, 4, 3], ['M'], [1, 5, 6, 'M'], [5, 'M', 4, 6, 3], ['M'], [1, 2, 'M'], ['M', 1, 5, 2, 4, 6, 3], ['M', 1, 5, 2, 4, 3], ['M', 6]]",244.3748694071988,"[1, 5, 2, 4, 6, 3]","[['M', 2, 4, 3], ['M'], [1, 5, 6, 'M'], [5, 'M', 4, 6, 3], ['M'], [1, 2, 'M'], ['M', 1, 5, 2, 4, 6, 3], ['M', 1, 5, 2, 4, 3], ['M', 6]]",0.012204170227050781
6,445.7179334195275,"[4, 1, 2, 3, 6, 5, 7]","[[4, 1, 'M', 2, 3, 6, 5], [7, 'M'], ['M', 4, 1, 2, 3, 6, 5, 7], ['M', 4, 1, 2, 3, 6, 5, 7], ['M', 4, 1, 2, 3, 6, 5, 7], ['M', 6, 5], ['M', 4, 1, 2, 3, 7]]",334.2197142124991,"[2, 1, 4, 6, 3, 5, 7]","[[2, 1, 'M', 4, 6, 3, 5], [7, 'M'], ['M', 2, 1, 4, 6, 3, 5, 7], ['M', 2, 1, 4, 6, 3, 5, 7], ['M', 2, 1, 4, 6, 3, 5, 7], ['M', 6, 5], ['M', 2, 1, 4, 3, 7]]",334.2197142124991,"[2, 1, 4, 6, 3, 5, 7]","[[2, 1, 'M', 4, 6, 3, 5], [7, 'M'], ['M', 2, 1, 4, 6, 3, 5, 7], ['M', 2, 1, 4, 6, 3, 5, 7], ['M', 2, 1, 4, 6, 3, 5, 7], ['M', 6, 5], ['M', 2, 1, 4, 3, 7]]",0.01183319091796875
7,287.3936674001279,"[5, 4, 3, 2, 1]","[[5, 'M', 2], [4, 'M', 3, 1], ['M', 5], ['M'], ['M', 4, 3, 2, 1], ['M', 5, 4, 3, 2, 1], ['M', 1], [4, 3, 2, 'M'], [5, 'M'], [2, 'M'], [5, 'M', 4, 3, 1]]",263.87467254702926,"[2, 4, 5, 1, 3]","[[2, 'M', 5], [4, 'M', 1, 3], ['M', 5], ['M'], ['M', 2, 4, 1, 3], ['M', 2, 4, 5, 1, 3], ['M', 1], [2, 'M', 4, 3], [5, 'M'], [2, 'M'], [4, 'M', 5, 1, 3]]",263.87467254702926,"[2, 4, 5, 1, 3]","[[2, 'M', 5], [4, 'M', 1, 3], ['M', 5], ['M'], ['M', 2, 4, 1, 3], ['M', 2, 4, 5, 1, 3], ['M', 1], [2, 'M', 4, 3], [5, 'M'], [2, 'M'], [4, 'M', 5, 1, 3]]",0.013682842254638672
8,85.86846850471282,"[1, 2, 5, 3, 6, 4]","[[1, 2, 5, 3, 6, 4, 'M'], ['M', 1, 3, 6, 4], [2, 5, 'M'], ['M'], ['M', 1, 2, 5, 3, 6, 4], ['M', 1, 2, 5, 3, 6, 4], [2, 'M'], ['M', 1, 6, 4], ['M', 5, 3]]",61.154078254814365,"[1, 2, 3, 6, 5, 4]","[[1, 2, 3, 6, 5, 4, 'M'], ['M', 1, 3, 6, 4], [2, 'M', 5], ['M'], ['M', 1, 2, 3, 6, 5, 4], ['M', 1, 2, 3, 6, 5, 4], [2, 'M'], ['M', 1, 6, 4], ['M', 3, 5]]",61.154078254814365,"[1, 2, 3, 6, 5, 4]","[[1, 2, 3, 6, 5, 4, 'M'], ['M', 1, 3, 6, 4], [2, 'M', 5], ['M'], ['M', 1, 2, 3, 6, 5, 4], ['M', 1, 2, 3, 6, 5, 4], [2, 'M'], ['M', 1, 6, 4], ['M', 3, 5]]",0.0156557559967041
9,551.8688955892198,"[4, 9, 5, 2, 1, 8, 7, 6, 3]","[[9, 'M', 5, 2, 8, 3], [4, 1, 7, 6, 'M'], ['M', 9, 6], [4, 5, 2, 1, 8, 7, 3, 'M'], ['M', 4, 9, 5, 2, 1, 8, 7, 6, 3]]",338.161263174405,"[4, 1, 7, 6, 9, 2, 3, 8, 5]","[[9, 'M', 2, 3, 8, 5], [4, 1, 7, 6, 'M'], ['M', 6, 9], [4, 1, 7, 2, 3, 8, 5, 'M'], ['M', 4, 1, 7, 6, 9, 2, 3, 8, 5]]",338.161263174405,"[4, 1, 7, 6, 9, 2, 3, 8, 5]","[[9, 'M', 2, 3, 8, 5], [4, 1, 7, 6, 'M'], ['M', 6, 9], [4, 1, 7, 2, 3, 8, 5, 'M'], ['M', 4, 1, 7, 6, 9, 2, 3, 8, 5]]",0.013012886047363281
10,222.02142483980515,"[4, 1, 5, 2, 3]","[[4, 1, 5, 'M', 2, 3], ['M'], [4, 5, 2, 3, 'M'], [1, 'M'], ['M', 1, 5, 2], ['M', 4, 3], ['M', 4, 1, 5, 2, 3], ['M', 4, 1, 5, 2, 3]]",179.97407162175256,"[5, 1, 3, 2, 4]","[[5, 1, 3, 2, 'M', 4], ['M'], [5, 3, 2, 4, 'M'], [1, 'M'], ['M', 5, 1, 2], ['M', 3, 4], ['M', 5, 1, 3, 2, 4], ['M', 5, 1, 3, 2, 4]]",179.97407162175256,"[5, 1, 3, 2, 4]","[[5, 1, 3, 2, 'M', 4], ['M'], [5, 3, 2, 4, 'M'], [1, 'M'], ['M', 5, 1, 2], ['M', 3, 4], ['M', 5, 1, 3, 2, 4], ['M', 5, 1, 3, 2, 4]]",0.009900093078613281
