,initial objective value,initial shared job order,initial schedule,process objective value,process shared job order,process schedule,final objective value,final shared job order,final schedule,time
1,225.62942639938228,"[4, 5, 9, 6, 3, 2, 8, 1, 10, 7]","[[4, 5, 9, 6, 3, 2, 8, 1, 10, 7, 'M'], ['M'], [4, 5, 9, 6, 3, 2, 8, 1, 10, 7, 'M'], ['M']]",189.1373030419605,"[4, 9, 5, 2, 8, 10, 7, 1, 3, 6]","[[4, 9, 5, 2, 8, 10, 7, 1, 3, 6, 'M'], ['M'], [4, 9, 5, 2, 8, 10, 7, 1, 3, 6, 'M'], ['M']]",189.1373030419605,"[4, 9, 5, 2, 8, 10, 7, 1, 3, 6]","[[4, 9, 5, 2, 8, 10, 7, 1, 3, 6, 'M'], ['M'], [4, 9, 5, 2, 8, 10, 7, 1, 3, 6, 'M'], ['M']]",0.01972794532775879
2,223.51360795183263,"[8, 4, 6, 2, 3, 10, 1, 5, 7, 9]","[[8, 4, 6, 2, 3, 10, 1, 5, 7, 9, 'M'], ['M'], [8, 4, 6, 2, 3, 10, 1, 5, 7, 9, 'M'], ['M']]",211.92639947884376,"[8, 4, 6, 2, 7, 1, 3, 10, 5, 9]","[[8, 4, 6, 2, 7, 1, 3, 10, 5, 9, 'M'], ['M'], [8, 4, 6, 2, 7, 1, 3, 10, 5, 9, 'M'], ['M']]",211.92639947884376,"[8, 4, 6, 2, 7, 1, 3, 10, 5, 9]","[[8, 4, 6, 2, 7, 1, 3, 10, 5, 9, 'M'], ['M'], [8, 4, 6, 2, 7, 1, 3, 10, 5, 9, 'M'], ['M']]",0.01640915870666504
3,279.78373644845243,"[7, 6, 8, 5, 4, 1, 9, 2, 10, 3]","[[7, 6, 8, 5, 4, 1, 9, 2, 10, 3, 'M'], ['M'], [7, 6, 8, 5, 4, 1, 9, 2, 10, 3, 'M'], ['M']]",250.42849019508643,"[8, 5, 10, 2, 7, 1, 9, 4, 3, 6]","[[8, 5, 10, 2, 7, 1, 9, 4, 3, 6, 'M'], ['M'], [8, 5, 10, 2, 7, 1, 9, 4, 3, 6, 'M'], ['M']]",250.42849019508643,"[8, 5, 10, 2, 7, 1, 9, 4, 3, 6]","[[8, 5, 10, 2, 7, 1, 9, 4, 3, 6, 'M'], ['M'], [8, 5, 10, 2, 7, 1, 9, 4, 3, 6, 'M'], ['M']]",0.011720895767211914
4,181.89699268010799,"[4, 9, 1, 8, 3, 2, 10, 5, 7, 6]","[[4, 9, 1, 8, 3, 2, 10, 5, 7, 6, 'M'], ['M'], ['M'], [4, 9, 1, 8, 3, 2, 10, 5, 7, 6, 'M']]",161.97497938566175,"[4, 9, 8, 2, 5, 6, 3, 10, 7, 1]","[[4, 9, 8, 2, 5, 6, 3, 10, 7, 1, 'M'], ['M'], ['M'], [4, 9, 8, 2, 5, 6, 3, 10, 7, 1, 'M']]",161.97497938566175,"[4, 9, 8, 2, 5, 6, 3, 10, 7, 1]","[[4, 9, 8, 2, 5, 6, 3, 10, 7, 1, 'M'], ['M'], ['M'], [4, 9, 8, 2, 5, 6, 3, 10, 7, 1, 'M']]",0.00786280632019043
5,183.68127323816515,"[3, 9, 1, 4, 6, 7, 5, 2, 10, 8]","[[3, 9, 1, 4, 6, 7, 5, 2, 10, 8, 'M'], ['M'], ['M'], ['M', 3, 9, 1, 4, 6, 7, 5, 2, 10, 8]]",173.68756813894475,"[3, 9, 4, 5, 7, 1, 6, 8, 2, 10]","[[3, 9, 4, 5, 7, 1, 6, 8, 2, 10, 'M'], ['M'], ['M'], ['M', 3, 9, 4, 5, 7, 1, 6, 8, 2, 10]]",173.68756813894475,"[3, 9, 4, 5, 7, 1, 6, 8, 2, 10]","[[3, 9, 4, 5, 7, 1, 6, 8, 2, 10, 'M'], ['M'], ['M'], ['M', 3, 9, 4, 5, 7, 1, 6, 8, 2, 10]]",0.009715795516967773
6,266.77082021406125,"[2, 8, 3, 7, 6, 1, 4, 9, 5, 10]","[['M'], [2, 8, 3, 7, 6, 1, 4, 9, 5, 10, 'M'], [2, 8, 3, 7, 6, 1, 4, 9, 5, 10, 'M'], ['M']]",250.1560925428996,"[2, 6, 7, 4, 10, 8, 1, 9, 3, 5]","[['M'], [2, 6, 7, 4, 10, 8, 1, 9, 3, 5, 'M'], [2, 6, 7, 4, 10, 8, 1, 9, 3, 5, 'M'], ['M']]",250.1560925428996,"[2, 6, 7, 4, 10, 8, 1, 9, 3, 5]","[['M'], [2, 6, 7, 4, 10, 8, 1, 9, 3, 5, 'M'], [2, 6, 7, 4, 10, 8, 1, 9, 3, 5, 'M'], ['M']]",0.00899195671081543
7,313.1258182437931,"[3, 10, 5, 6, 4, 2, 8, 7, 1, 9]","[[3, 10, 5, 6, 4, 2, 8, 7, 1, 9, 'M'], ['M'], ['M', 3, 10, 5, 6, 4, 2, 8, 7, 1, 9], ['M']]",271.56477364490416,"[5, 2, 8, 1, 3, 6, 9, 7, 4, 10]","[[5, 2, 8, 1, 3, 6, 9, 7, 4, 10, 'M'], ['M'], ['M', 5, 2, 8, 1, 3, 6, 9, 7, 4, 10], ['M']]",271.56477364490416,"[5, 2, 8, 1, 3, 6, 9, 7, 4, 10]","[[5, 2, 8, 1, 3, 6, 9, 7, 4, 10, 'M'], ['M'], ['M', 5, 2, 8, 1, 3, 6, 9, 7, 4, 10], ['M']]",0.008949041366577148
8,227.28954551797557,"[5, 9, 8, 2, 6, 4, 7, 3, 10, 1]","[[5, 9, 8, 2, 6, 4, 7, 3, 10, 1, 'M'], ['M'], [5, 9, 8, 2, 6, 4, 7, 3, 10, 1, 'M'], ['M']]",213.15664404557975,"[5, 8, 6, 9, 2, 1, 4, 3, 7, 10]","[[5, 8, 6, 9, 2, 1, 4, 3, 7, 10, 'M'], ['M'], [5, 8, 6, 9, 2, 1, 4, 3, 7, 10, 'M'], ['M']]",213.15664404557975,"[5, 8, 6, 9, 2, 1, 4, 3, 7, 10]","[[5, 8, 6, 9, 2, 1, 4, 3, 7, 10, 'M'], ['M'], [5, 8, 6, 9, 2, 1, 4, 3, 7, 10, 'M'], ['M']]",0.009312152862548828
9,221.4120338395303,"[6, 2, 1, 9, 3, 4, 5, 7, 10, 8]","[['M'], [6, 2, 1, 9, 3, 4, 5, 7, 10, 8, 'M'], ['M'], ['M', 6, 2, 1, 9, 3, 4, 5, 7, 10, 8]]",210.8313563728471,"[2, 9, 6, 4, 3, 1, 7, 8, 5, 10]","[['M'], [2, 9, 6, 4, 3, 1, 7, 8, 5, 10, 'M'], ['M'], ['M', 2, 9, 6, 4, 3, 1, 7, 8, 5, 10]]",210.8313563728471,"[2, 9, 6, 4, 3, 1, 7, 8, 5, 10]","[['M'], [2, 9, 6, 4, 3, 1, 7, 8, 5, 10, 'M'], ['M'], ['M', 2, 9, 6, 4, 3, 1, 7, 8, 5, 10]]",0.006912946701049805
10,223.93879742710692,"[5, 7, 10, 9, 2, 6, 4, 3, 1, 8]","[['M'], [5, 7, 10, 9, 2, 6, 4, 3, 1, 8, 'M'], [5, 7, 10, 9, 2, 6, 4, 3, 1, 8, 'M'], ['M']]",197.19777008745743,"[5, 10, 6, 3, 8, 7, 2, 9, 1, 4]","[['M'], [5, 10, 6, 3, 8, 7, 2, 9, 1, 4, 'M'], [5, 10, 6, 3, 8, 7, 2, 9, 1, 4, 'M'], ['M']]",197.19777008745743,"[5, 10, 6, 3, 8, 7, 2, 9, 1, 4]","[['M'], [5, 10, 6, 3, 8, 7, 2, 9, 1, 4, 'M'], [5, 10, 6, 3, 8, 7, 2, 9, 1, 4, 'M'], ['M']]",0.008872032165527344
