,initial objective value,initial shared job order,initial schedule,process objective value,process shared job order,process schedule,final objective value,final shared job order,final schedule,time
1,63.7615648748077,"[7, 4, 6, 8, 3, 5, 2, 10, 9, 1]","[['M', 7, 4, 6, 8, 3, 5, 2, 10, 9, 1], ['M', 7, 4, 6, 8, 3, 5, 2, 10, 9, 1]]",47.41618800601685,"[7, 4, 6, 8, 5, 3, 10, 2, 1, 9]","[['M', 7, 4, 6, 8, 5, 3, 10, 2, 1, 9], ['M', 7, 4, 6, 8, 5, 3, 10, 2, 1, 9]]",47.41618800601685,"[7, 4, 6, 8, 5, 3, 10, 2, 1, 9]","[['M', 7, 4, 6, 8, 5, 3, 10, 2, 1, 9], ['M', 7, 4, 6, 8, 5, 3, 10, 2, 1, 9]]",0.4141221046447754
2,39.39681468318004,"[9, 10, 1, 7, 8, 5, 4, 6, 3, 2]","[['M', 9, 10, 1, 7, 8, 5, 4, 6, 3, 2], ['M', 9, 10, 1, 7, 8, 5, 4, 6, 3, 2]]",18.964811575950755,"[8, 9, 10, 1, 7, 5, 4, 6, 3, 2]","[['M', 8, 9, 10, 1, 7, 5, 4, 6, 3, 2], ['M', 8, 9, 10, 1, 7, 5, 4, 6, 3, 2]]",18.964811575950755,"[8, 9, 10, 1, 7, 5, 4, 6, 3, 2]","[['M', 8, 9, 10, 1, 7, 5, 4, 6, 3, 2], ['M', 8, 9, 10, 1, 7, 5, 4, 6, 3, 2]]",0.23430824279785156
3,53.69492412992387,"[2, 3, 4, 7, 6, 8, 9, 1, 10, 5]","[['M', 2, 3, 4, 7, 6, 8, 9, 1, 10, 5], ['M', 2, 3, 4, 7, 6, 8, 9, 1, 10, 5]]",36.448859773564415,"[2, 7, 3, 4, 10, 6, 8, 9, 1, 5]","[['M', 2, 7, 3, 4, 10, 6, 8, 9, 1, 5], ['M', 2, 7, 3, 4, 10, 6, 8, 9, 1, 5]]",36.448859773564415,"[2, 7, 3, 4, 10, 6, 8, 9, 1, 5]","[['M', 2, 7, 3, 4, 10, 6, 8, 9, 1, 5], ['M', 2, 7, 3, 4, 10, 6, 8, 9, 1, 5]]",0.39806222915649414
4,65.25579749762674,"[3, 8, 2, 6, 9, 4, 10, 7, 1, 5]","[['M', 3, 8, 2, 6, 9, 4, 10, 7, 1, 5], ['M', 3, 8, 2, 6, 9, 4, 10, 7, 1, 5]]",59.214802555720425,"[8, 3, 2, 6, 9, 4, 10, 1, 5, 7]","[['M', 8, 3, 2, 6, 9, 4, 10, 1, 5, 7], ['M', 8, 3, 2, 6, 9, 4, 10, 1, 5, 7]]",59.214802555720425,"[8, 3, 2, 6, 9, 4, 10, 1, 5, 7]","[['M', 8, 3, 2, 6, 9, 4, 10, 1, 5, 7], ['M', 8, 3, 2, 6, 9, 4, 10, 1, 5, 7]]",0.2491598129272461
5,39.34586552787707,"[4, 5, 9, 6, 7, 2, 10, 1, 8, 3]","[['M', 4, 5, 9, 6, 7, 2, 10, 1, 8, 3], ['M', 4, 5, 9, 6, 7, 2, 10, 1, 8, 3]]",33.8615616973762,"[4, 5, 9, 6, 7, 2, 10, 1, 3, 8]","[['M', 4, 5, 9, 6, 7, 2, 10, 1, 3, 8], ['M', 4, 5, 9, 6, 7, 2, 10, 1, 3, 8]]",33.8615616973762,"[4, 5, 9, 6, 7, 2, 10, 1, 3, 8]","[['M', 4, 5, 9, 6, 7, 2, 10, 1, 3, 8], ['M', 4, 5, 9, 6, 7, 2, 10, 1, 3, 8]]",0.25041985511779785
6,70.78859499316157,"[1, 3, 8, 2, 10, 6, 4, 9, 5, 7]","[['M', 1, 3, 8, 2, 10, 6, 4, 9, 5, 7], ['M', 1, 3, 8, 2, 10, 6, 4, 9, 5, 7]]",53.07928451914014,"[1, 3, 8, 2, 10, 5, 6, 9, 4, 7]","[['M', 1, 3, 8, 2, 10, 5, 6, 9, 4, 7], ['M', 1, 3, 8, 2, 10, 5, 6, 9, 4, 7]]",53.07928451914014,"[1, 3, 8, 2, 10, 5, 6, 9, 4, 7]","[['M', 1, 3, 8, 2, 10, 5, 6, 9, 4, 7], ['M', 1, 3, 8, 2, 10, 5, 6, 9, 4, 7]]",0.331143856048584
7,94.99467472194814,"[6, 3, 1, 8, 5, 10, 9, 7, 4, 2]","[['M', 6, 3, 1, 8, 5, 10, 9, 7, 4, 2], ['M', 6, 3, 1, 8, 5, 10, 9, 7, 4, 2]]",63.21122577721845,"[3, 6, 1, 8, 10, 9, 7, 5, 4, 2]","[['M', 3, 6, 1, 8, 10, 9, 7, 5, 4, 2], ['M', 3, 6, 1, 8, 10, 9, 7, 5, 4, 2]]",63.21122577721845,"[3, 6, 1, 8, 10, 9, 7, 5, 4, 2]","[['M', 3, 6, 1, 8, 10, 9, 7, 5, 4, 2], ['M', 3, 6, 1, 8, 10, 9, 7, 5, 4, 2]]",0.30989527702331543
8,74.13677334802165,"[5, 3, 9, 8, 2, 6, 7, 1, 10, 4]","[['M', 5, 3, 9, 8, 2, 6, 7, 1, 10, 4], ['M', 5, 3, 9, 8, 2, 6, 7, 1, 10, 4]]",25.354963079027875,"[6, 5, 3, 9, 8, 2, 7, 1, 10, 4]","[['M', 6, 5, 3, 9, 8, 2, 7, 1, 10, 4], ['M', 6, 5, 3, 9, 8, 2, 7, 1, 10, 4]]",25.354963079027875,"[6, 5, 3, 9, 8, 2, 7, 1, 10, 4]","[['M', 6, 5, 3, 9, 8, 2, 7, 1, 10, 4], ['M', 6, 5, 3, 9, 8, 2, 7, 1, 10, 4]]",0.3195769786834717
9,44.37721300366272,"[10, 8, 9, 1, 5, 6, 4, 7, 2, 3]","[['M', 10, 8, 9, 1, 5, 6, 4, 7, 2, 3], ['M', 10, 8, 9, 1, 5, 6, 4, 7, 2, 3]]",15.538286703459821,"[9, 10, 8, 1, 5, 6, 4, 7, 2, 3]","[['M', 9, 10, 8, 1, 5, 6, 4, 7, 2, 3], ['M', 9, 10, 8, 1, 5, 6, 4, 7, 2, 3]]",15.538286703459821,"[9, 10, 8, 1, 5, 6, 4, 7, 2, 3]","[['M', 9, 10, 8, 1, 5, 6, 4, 7, 2, 3], ['M', 9, 10, 8, 1, 5, 6, 4, 7, 2, 3]]",0.2330482006072998
10,62.99475243918946,"[8, 9, 3, 6, 5, 4, 10, 7, 1, 2]","[['M', 8, 9, 3, 6, 5, 4, 10, 7, 1, 2], ['M', 8, 9, 3, 6, 5, 4, 10, 7, 1, 2]]",57.89793369814105,"[8, 9, 3, 6, 4, 5, 1, 7, 2, 10]","[['M', 8, 9, 3, 6, 4, 5, 1, 7, 2, 10], ['M', 8, 9, 3, 6, 4, 5, 1, 7, 2, 10]]",57.89793369814105,"[8, 9, 3, 6, 4, 5, 1, 7, 2, 10]","[['M', 8, 9, 3, 6, 4, 5, 1, 7, 2, 10], ['M', 8, 9, 3, 6, 4, 5, 1, 7, 2, 10]]",0.3153400421142578
11,120.34058145800063,"[1, 8, 9, 10, 6, 4, 3, 7, 5, 2]","[['M', 1, 8, 9, 10, 6, 4, 3, 7, 5, 2], ['M', 1, 8, 9, 10, 6, 4, 3, 7, 5, 2]]",99.21277862113647,"[10, 8, 9, 5, 6, 4, 2, 7, 3, 1]","[['M', 10, 8, 9, 5, 6, 4, 2, 7, 3, 1], ['M', 10, 8, 9, 5, 6, 4, 2, 7, 3, 1]]",99.21277862113647,"[10, 8, 9, 5, 6, 4, 2, 7, 3, 1]","[['M', 10, 8, 9, 5, 6, 4, 2, 7, 3, 1], ['M', 10, 8, 9, 5, 6, 4, 2, 7, 3, 1]]",0.3145561218261719
12,54.877853658501664,"[6, 9, 10, 8, 3, 7, 2, 5, 1, 4]","[['M', 6, 9, 10, 8, 3, 7, 2, 5, 1, 4], ['M', 6, 9, 10, 8, 3, 7, 2, 5, 1, 4]]",39.56748039287945,"[6, 9, 10, 8, 3, 5, 2, 1, 4, 7]","[['M', 6, 9, 10, 8, 3, 5, 2, 1, 4, 7], ['M', 6, 9, 10, 8, 3, 5, 2, 1, 4, 7]]",39.56748039287945,"[6, 9, 10, 8, 3, 5, 2, 1, 4, 7]","[['M', 6, 9, 10, 8, 3, 5, 2, 1, 4, 7], ['M', 6, 9, 10, 8, 3, 5, 2, 1, 4, 7]]",0.3967318534851074
13,24.709645239561482,"[5, 7, 2, 1, 8, 3, 9, 4, 6, 10]","[['M', 5, 7, 2, 1, 8, 3, 9, 4, 6, 10], ['M', 5, 7, 2, 1, 8, 3, 9, 4, 6, 10]]",19.858421965751013,"[1, 7, 2, 5, 3, 9, 8, 4, 6, 10]","[['M', 1, 7, 2, 5, 3, 9, 8, 4, 6, 10], ['M', 1, 7, 2, 5, 3, 9, 8, 4, 6, 10]]",19.858421965751013,"[1, 7, 2, 5, 3, 9, 8, 4, 6, 10]","[['M', 1, 7, 2, 5, 3, 9, 8, 4, 6, 10], ['M', 1, 7, 2, 5, 3, 9, 8, 4, 6, 10]]",0.23465800285339355
14,90.5427322629223,"[5, 1, 7, 6, 8, 9, 3, 4, 10, 2]","[['M', 5, 1, 7, 6, 8, 9, 3, 4, 10, 2], ['M', 5, 1, 7, 6, 8, 9, 3, 4, 10, 2]]",39.864501652994164,"[7, 5, 1, 6, 8, 9, 3, 4, 2, 10]","[['M', 7, 5, 1, 6, 8, 9, 3, 4, 2, 10], ['M', 7, 5, 1, 6, 8, 9, 3, 4, 2, 10]]",39.864501652994164,"[7, 5, 1, 6, 8, 9, 3, 4, 2, 10]","[['M', 7, 5, 1, 6, 8, 9, 3, 4, 2, 10], ['M', 7, 5, 1, 6, 8, 9, 3, 4, 2, 10]]",0.234849214553833
15,345.4703561071156,"[4, 9, 10, 7, 2, 6, 3, 5, 1, 8]","[['M', 4, 9, 10, 7, 2, 6, 3, 5, 1, 8], ['M', 4, 9, 10, 7, 2, 6, 3, 5, 1, 8]]",182.27981715654036,"[7, 9, 10, 2, 4, 1, 8, 5, 6, 3]","[['M', 7, 9, 10, 2, 4, 1, 8, 5, 6, 3], ['M', 7, 9, 10, 2, 4, 1, 8, 5, 6, 3]]",182.27981715654036,"[7, 9, 10, 2, 4, 1, 8, 5, 6, 3]","[['M', 7, 9, 10, 2, 4, 1, 8, 5, 6, 3], ['M', 7, 9, 10, 2, 4, 1, 8, 5, 6, 3]]",0.2328178882598877
16,109.73518915521927,"[5, 8, 1, 2, 9, 6, 4, 3, 10, 7]","[['M', 5, 8, 1, 2, 9, 6, 4, 3, 10, 7], ['M', 5, 8, 1, 2, 9, 6, 4, 3, 10, 7]]",86.5935026808313,"[2, 5, 8, 1, 9, 6, 3, 4, 10, 7]","[['M', 2, 5, 8, 1, 9, 6, 3, 4, 10, 7], ['M', 2, 5, 8, 1, 9, 6, 3, 4, 10, 7]]",86.5935026808313,"[2, 5, 8, 1, 9, 6, 3, 4, 10, 7]","[['M', 2, 5, 8, 1, 9, 6, 3, 4, 10, 7], ['M', 2, 5, 8, 1, 9, 6, 3, 4, 10, 7]]",0.3314785957336426
17,50.44394189363962,"[7, 6, 8, 10, 9, 4, 2, 1, 3, 5]","[['M', 7, 6, 8, 10, 9, 4, 2, 1, 3, 5], ['M', 7, 6, 8, 10, 9, 4, 2, 1, 3, 5]]",23.60633651093545,"[9, 7, 6, 8, 10, 2, 4, 1, 3, 5]","[['M', 9, 7, 6, 8, 10, 2, 4, 1, 3, 5], ['M', 9, 7, 6, 8, 10, 2, 4, 1, 3, 5]]",23.60633651093545,"[9, 7, 6, 8, 10, 2, 4, 1, 3, 5]","[['M', 9, 7, 6, 8, 10, 2, 4, 1, 3, 5], ['M', 9, 7, 6, 8, 10, 2, 4, 1, 3, 5]]",0.23994088172912598
18,0,"[7, 3, 1, 2, 10, 6, 9, 4, 8, 5]","[['M', 7, 3, 1, 2, 10, 6, 9, 4, 8, 5], ['M', 7, 3, 1, 2, 10, 6, 9, 4, 8, 5]]",0,"[7, 3, 1, 2, 10, 6, 9, 4, 8, 5]","[['M', 7, 3, 1, 2, 10, 6, 9, 4, 8, 5], ['M', 7, 3, 1, 2, 10, 6, 9, 4, 8, 5]]",0,"[7, 3, 1, 2, 10, 6, 9, 4, 8, 5]","[['M', 7, 3, 1, 2, 10, 6, 9, 4, 8, 5], ['M', 7, 3, 1, 2, 10, 6, 9, 4, 8, 5]]",0.17332792282104492
