,initial objective value,initial shared job order,initial schedule,process objective value,process shared job order,process schedule,final objective value,final shared job order,final schedule,time
1,67.89103287267766,"[6, 7, 5, 4, 1, 3, 2, 10, 8, 9]","[['M', 6, 7, 5, 4, 1, 3, 2, 10, 8, 9], ['M', 6, 7, 5, 4, 1, 3, 2, 10, 8, 9]]",47.41618800601685,"[6, 7, 4, 8, 5, 3, 10, 2, 1, 9]","[['M', 6, 7, 4, 8, 5, 3, 10, 2, 1, 9], ['M', 6, 7, 4, 8, 5, 3, 10, 2, 1, 9]]",47.41618800601685,"[6, 7, 4, 8, 5, 3, 10, 2, 1, 9]","[['M', 6, 7, 4, 8, 5, 3, 10, 2, 1, 9], ['M', 6, 7, 4, 8, 5, 3, 10, 2, 1, 9]]",0.4141974449157715
2,99.84730066594776,"[10, 3, 5, 8, 9, 7, 1, 4, 6, 2]","[['M', 10, 3, 5, 8, 9, 7, 1, 4, 6, 2], ['M', 10, 3, 5, 8, 9, 7, 1, 4, 6, 2]]",18.964811575950755,"[8, 10, 1, 9, 7, 5, 4, 6, 3, 2]","[['M', 8, 10, 1, 9, 7, 5, 4, 6, 3, 2], ['M', 8, 10, 1, 9, 7, 5, 4, 6, 3, 2]]",18.964811575950755,"[8, 10, 1, 9, 7, 5, 4, 6, 3, 2]","[['M', 8, 10, 1, 9, 7, 5, 4, 6, 3, 2], ['M', 8, 10, 1, 9, 7, 5, 4, 6, 3, 2]]",0.39277100563049316
3,97.87790650073367,"[2, 10, 3, 4, 1, 9, 7, 5, 8, 6]","[['M', 2, 10, 3, 4, 1, 9, 7, 5, 8, 6], ['M', 2, 10, 3, 4, 1, 9, 7, 5, 8, 6]]",33.3404374415925,"[2, 3, 7, 6, 4, 10, 8, 9, 1, 5]","[['M', 2, 3, 7, 6, 4, 10, 8, 9, 1, 5], ['M', 2, 3, 7, 6, 4, 10, 8, 9, 1, 5]]",33.3404374415925,"[2, 3, 7, 6, 4, 10, 8, 9, 1, 5]","[['M', 2, 3, 7, 6, 4, 10, 8, 9, 1, 5], ['M', 2, 3, 7, 6, 4, 10, 8, 9, 1, 5]]",0.46871495246887207
4,86.45374485020179,"[8, 3, 10, 9, 4, 2, 6, 5, 1, 7]","[['M', 8, 3, 10, 9, 4, 2, 6, 5, 1, 7], ['M', 8, 3, 10, 9, 4, 2, 6, 5, 1, 7]]",59.214802555720425,"[8, 3, 2, 6, 9, 4, 10, 1, 5, 7]","[['M', 8, 3, 2, 6, 9, 4, 10, 1, 5, 7], ['M', 8, 3, 2, 6, 9, 4, 10, 1, 5, 7]]",59.214802555720425,"[8, 3, 2, 6, 9, 4, 10, 1, 5, 7]","[['M', 8, 3, 2, 6, 9, 4, 10, 1, 5, 7], ['M', 8, 3, 2, 6, 9, 4, 10, 1, 5, 7]]",0.25321292877197266
5,54.187969994769546,"[7, 1, 9, 4, 6, 2, 3, 5, 10, 8]","[['M', 7, 1, 9, 4, 6, 2, 3, 5, 10, 8], ['M', 7, 1, 9, 4, 6, 2, 3, 5, 10, 8]]",32.09348404472038,"[7, 5, 9, 4, 6, 2, 1, 3, 10, 8]","[['M', 7, 5, 9, 4, 6, 2, 1, 3, 10, 8], ['M', 7, 5, 9, 4, 6, 2, 1, 3, 10, 8]]",32.09348404472038,"[7, 5, 9, 4, 6, 2, 1, 3, 10, 8]","[['M', 7, 5, 9, 4, 6, 2, 1, 3, 10, 8], ['M', 7, 5, 9, 4, 6, 2, 1, 3, 10, 8]]",0.25156235694885254
6,75.12680283245277,"[1, 3, 5, 8, 10, 2, 7, 9, 6, 4]","[['M', 1, 3, 5, 8, 10, 2, 7, 9, 6, 4], ['M', 1, 3, 5, 8, 10, 2, 7, 9, 6, 4]]",44.141530502462615,"[1, 3, 6, 8, 2, 10, 9, 5, 4, 7]","[['M', 1, 3, 6, 8, 2, 10, 9, 5, 4, 7], ['M', 1, 3, 6, 8, 2, 10, 9, 5, 4, 7]]",44.141530502462615,"[1, 3, 6, 8, 2, 10, 9, 5, 4, 7]","[['M', 1, 3, 6, 8, 2, 10, 9, 5, 4, 7], ['M', 1, 3, 6, 8, 2, 10, 9, 5, 4, 7]]",0.25025486946105957
7,88.26738857282761,"[3, 9, 8, 6, 7, 1, 5, 10, 4, 2]","[['M', 3, 9, 8, 6, 7, 1, 5, 10, 4, 2], ['M', 3, 9, 8, 6, 7, 1, 5, 10, 4, 2]]",63.21122577721845,"[3, 6, 8, 1, 10, 9, 7, 5, 4, 2]","[['M', 3, 6, 8, 1, 10, 9, 7, 5, 4, 2], ['M', 3, 6, 8, 1, 10, 9, 7, 5, 4, 2]]",63.21122577721845,"[3, 6, 8, 1, 10, 9, 7, 5, 4, 2]","[['M', 3, 6, 8, 1, 10, 9, 7, 5, 4, 2], ['M', 3, 6, 8, 1, 10, 9, 7, 5, 4, 2]]",0.2449951171875
8,68.9006860462849,"[1, 5, 7, 9, 6, 10, 3, 2, 8, 4]","[['M', 1, 5, 7, 9, 6, 10, 3, 2, 8, 4], ['M', 1, 5, 7, 9, 6, 10, 3, 2, 8, 4]]",39.65152715359052,"[6, 5, 3, 9, 1, 8, 2, 7, 10, 4]","[['M', 6, 5, 3, 9, 1, 8, 2, 7, 10, 4], ['M', 6, 5, 3, 9, 1, 8, 2, 7, 10, 4]]",39.65152715359052,"[6, 5, 3, 9, 1, 8, 2, 7, 10, 4]","[['M', 6, 5, 3, 9, 1, 8, 2, 7, 10, 4], ['M', 6, 5, 3, 9, 1, 8, 2, 7, 10, 4]]",0.32161784172058105
9,107.00655765455856,"[9, 8, 5, 7, 2, 1, 4, 6, 3, 10]","[['M', 9, 8, 5, 7, 2, 1, 4, 6, 3, 10], ['M', 9, 8, 5, 7, 2, 1, 4, 6, 3, 10]]",15.538286703459821,"[5, 9, 1, 8, 6, 10, 4, 7, 2, 3]","[['M', 5, 9, 1, 8, 6, 10, 4, 7, 2, 3], ['M', 5, 9, 1, 8, 6, 10, 4, 7, 2, 3]]",15.538286703459821,"[5, 9, 1, 8, 6, 10, 4, 7, 2, 3]","[['M', 5, 9, 1, 8, 6, 10, 4, 7, 2, 3], ['M', 5, 9, 1, 8, 6, 10, 4, 7, 2, 3]]",0.3116450309753418
10,126.81427596031901,"[8, 2, 9, 1, 6, 3, 5, 4, 10, 7]","[['M', 8, 2, 9, 1, 6, 3, 5, 4, 10, 7], ['M', 8, 2, 9, 1, 6, 3, 5, 4, 10, 7]]",79.49050897240039,"[2, 8, 9, 3, 6, 5, 4, 7, 1, 10]","[['M', 2, 8, 9, 3, 6, 5, 4, 7, 1, 10], ['M', 2, 8, 9, 3, 6, 5, 4, 7, 1, 10]]",79.49050897240039,"[2, 8, 9, 3, 6, 5, 4, 7, 1, 10]","[['M', 2, 8, 9, 3, 6, 5, 4, 7, 1, 10], ['M', 2, 8, 9, 3, 6, 5, 4, 7, 1, 10]]",0.313586950302124
11,193.68341784386865,"[1, 10, 8, 2, 9, 3, 7, 5, 4, 6]","[['M', 1, 10, 8, 2, 9, 3, 7, 5, 4, 6], ['M', 1, 10, 8, 2, 9, 3, 7, 5, 4, 6]]",83.65409921877966,"[1, 9, 8, 10, 4, 6, 7, 5, 2, 3]","[['M', 1, 9, 8, 10, 4, 6, 7, 5, 2, 3], ['M', 1, 9, 8, 10, 4, 6, 7, 5, 2, 3]]",83.65409921877966,"[1, 9, 8, 10, 4, 6, 7, 5, 2, 3]","[['M', 1, 9, 8, 10, 4, 6, 7, 5, 2, 3], ['M', 1, 9, 8, 10, 4, 6, 7, 5, 2, 3]]",0.4665348529815674
12,52.0140238493568,"[2, 6, 10, 1, 8, 9, 5, 4, 3, 7]","[['M', 2, 6, 10, 1, 8, 9, 5, 4, 3, 7], ['M', 2, 6, 10, 1, 8, 9, 5, 4, 3, 7]]",30.445155036493475,"[2, 6, 10, 9, 8, 3, 5, 1, 4, 7]","[['M', 2, 6, 10, 9, 8, 3, 5, 1, 4, 7], ['M', 2, 6, 10, 9, 8, 3, 5, 1, 4, 7]]",30.445155036493475,"[2, 6, 10, 9, 8, 3, 5, 1, 4, 7]","[['M', 2, 6, 10, 9, 8, 3, 5, 1, 4, 7], ['M', 2, 6, 10, 9, 8, 3, 5, 1, 4, 7]]",0.25894999504089355
13,94.3069612297735,"[5, 10, 1, 6, 8, 2, 4, 7, 3, 9]","[['M', 5, 10, 1, 6, 8, 2, 4, 7, 3, 9], ['M', 5, 10, 1, 6, 8, 2, 4, 7, 3, 9]]",19.858421965751013,"[1, 7, 2, 5, 3, 9, 8, 4, 6, 10]","[['M', 1, 7, 2, 5, 3, 9, 8, 4, 6, 10], ['M', 1, 7, 2, 5, 3, 9, 8, 4, 6, 10]]",19.858421965751013,"[1, 7, 2, 5, 3, 9, 8, 4, 6, 10]","[['M', 1, 7, 2, 5, 3, 9, 8, 4, 6, 10], ['M', 1, 7, 2, 5, 3, 9, 8, 4, 6, 10]]",0.42061805725097656
