,initial objective value,initial shared job order,initial schedule,process objective value,process shared job order,process schedule,final objective value,final shared job order,final schedule,time
1,404.2286475609881,"[4, 3, 7, 6, 2, 5, 8, 10, 1, 9]","[['M', 7, 6, 5, 1, 9], ['M', 4, 3, 2, 8, 10], ['M', 4, 6, 5, 8, 1], ['M', 3, 7, 2, 10, 9]]",267.2263994027979,"[4, 3, 7, 6, 2, 5, 8, 10, 1, 9]","[['M', 7, 6, 5, 1, 9], ['M', 4, 3, 2, 8, 10], ['M', 4, 6, 5, 8, 1], ['M', 3, 7, 2, 10, 9]]",267.2263994027979,"[4, 3, 7, 6, 2, 5, 8, 10, 1, 9]","[['M', 7, 6, 5, 1, 9], ['M', 4, 3, 2, 8, 10], ['M', 4, 6, 5, 8, 1], ['M', 3, 7, 2, 10, 9]]",210.4411051273346
2,324.80990675144,"[6, 1, 2, 8, 3, 9, 5, 4, 10, 7]","[['M', 6, 8, 9, 4, 10, 7], ['M', 1, 2, 3, 5], ['M', 8, 3, 9, 7], ['M', 6, 1, 2, 5, 4, 10]]",214.38182766154523,"[6, 1, 2, 8, 3, 9, 5, 4, 10, 7]","[['M', 6, 8, 9, 4, 10, 7], ['M', 1, 2, 3, 5], ['M', 8, 3, 9, 7], ['M', 6, 1, 2, 5, 4, 10]]",203.86676599463863,"[4, 6, 3, 9, 2, 1, 5, 8, 10, 7]","[['M', 4, 6, 9, 8, 10, 7], ['M', 3, 2, 1, 5], ['M', 3, 9, 8, 7], ['M', 4, 6, 2, 1, 5, 10]]",217.22191905975342
3,83.27888312018196,"[8, 10, 1, 4, 6, 7, 3, 5, 2, 9]","[['M', 8, 1, 4, 3, 2], ['M', 10, 6, 7, 5, 9], ['M', 8, 1, 4, 7, 2], ['M', 10, 6, 3, 5, 9]]",77.18425621308225,"[8, 10, 1, 4, 6, 7, 3, 5, 2, 9]","[['M', 8, 1, 4, 3, 2], ['M', 10, 6, 7, 5, 9], ['M', 8, 1, 4, 7, 2], ['M', 10, 6, 3, 5, 9]]",77.18425621308225,"[8, 10, 1, 4, 6, 7, 3, 5, 2, 9]","[['M', 8, 1, 4, 3, 2], ['M', 10, 6, 7, 5, 9], ['M', 8, 1, 4, 7, 2], ['M', 10, 6, 3, 5, 9]]",299.03869009017944
4,87.25051887773823,"[2, 8, 10, 4, 9, 5, 6, 7, 3, 1]","[['M', 10, 4, 6, 7, 3], ['M', 2, 8, 9, 5, 1], ['M', 2, 10, 4, 6, 7, 1], ['M', 8, 9, 5, 3]]",40.079246485344264,"[2, 8, 10, 4, 9, 5, 6, 7, 3, 1]","[['M', 10, 4, 6, 7, 3], ['M', 2, 8, 9, 5, 1], ['M', 2, 10, 4, 6, 7, 1], ['M', 8, 9, 5, 3]]",40.079246485344264,"[2, 8, 10, 4, 9, 5, 6, 7, 3, 1]","[['M', 10, 4, 6, 7, 3], ['M', 2, 8, 9, 5, 1], ['M', 2, 10, 4, 6, 7, 1], ['M', 8, 9, 5, 3]]",378.031396150589
5,63.46290327328832,"[10, 6, 8, 3, 2, 9, 1, 5, 4, 7]","[['M', 10, 8, 3, 1, 5], ['M', 6, 2, 9, 4, 7], ['M', 6, 8, 2, 7], ['M', 10, 3, 9, 1, 5, 4]]",38.06634332026405,"[10, 6, 8, 3, 2, 9, 1, 5, 4, 7]","[['M', 10, 8, 3, 1, 5], ['M', 6, 2, 9, 4, 7], ['M', 6, 8, 2, 7], ['M', 10, 3, 9, 1, 5, 4]]",29.56930122352479,"[4, 6, 10, 8, 1, 2, 3, 9, 7, 5]","[['M', 10, 8, 1, 3, 5], ['M', 4, 6, 2, 9, 7], ['M', 6, 8, 2, 7], ['M', 4, 10, 1, 3, 9, 5]]",291.92480301856995
6,246.91872113483348,"[3, 4, 7, 8, 1, 5, 10, 2, 6, 9]","[['M', 4, 5, 6, 9], ['M', 3, 7, 8, 1, 10, 2], ['M', 3, 4, 7, 10, 6, 9], ['M', 8, 1, 5, 2]]",174.04293705459278,"[3, 4, 7, 8, 1, 5, 10, 2, 6, 9]","[['M', 4, 5, 6, 9], ['M', 3, 7, 8, 1, 10, 2], ['M', 3, 4, 7, 10, 6, 9], ['M', 8, 1, 5, 2]]",174.04293705459278,"[3, 4, 7, 8, 1, 5, 10, 2, 6, 9]","[['M', 4, 5, 6, 9], ['M', 3, 7, 8, 1, 10, 2], ['M', 3, 4, 7, 10, 6, 9], ['M', 8, 1, 5, 2]]",205.4989619255066
7,181.74531189637213,"[6, 3, 5, 1, 8, 4, 2, 9, 7, 10]","[['M', 1, 9, 7, 10], ['M', 6, 3, 5, 8, 4, 2], ['M', 3, 5, 1, 2, 9], ['M', 6, 8, 4, 7, 10]]",49.5328416259518,"[6, 3, 5, 1, 8, 4, 2, 9, 7, 10]","[['M', 1, 9, 7, 10], ['M', 6, 3, 5, 8, 4, 2], ['M', 3, 5, 1, 2, 9], ['M', 6, 8, 4, 7, 10]]",49.5328416259518,"[6, 3, 5, 1, 8, 4, 2, 9, 7, 10]","[['M', 1, 9, 7, 10], ['M', 6, 3, 5, 8, 4, 2], ['M', 3, 5, 1, 2, 9], ['M', 6, 8, 4, 7, 10]]",295.1162860393524
8,312.08546925242285,"[2, 9, 4, 7, 5, 8, 6, 1, 10, 3]","[['M', 5, 6, 10, 3], ['M', 2, 9, 4, 7, 8, 1], ['M', 9, 5, 8, 1, 10, 3], ['M', 2, 4, 7, 6]]",118.52743789071685,"[2, 9, 4, 7, 5, 8, 6, 1, 10, 3]","[['M', 5, 6, 10, 3], ['M', 2, 9, 4, 7, 8, 1], ['M', 9, 5, 8, 1, 10, 3], ['M', 2, 4, 7, 6]]",118.52743789071685,"[2, 9, 4, 7, 5, 8, 6, 1, 10, 3]","[['M', 5, 6, 10, 3], ['M', 2, 9, 4, 7, 8, 1], ['M', 9, 5, 8, 1, 10, 3], ['M', 2, 4, 7, 6]]",302.2505168914795
9,359.6115949105284,"[10, 7, 8, 3, 6, 9, 1, 2, 5, 4]","[['M', 9, 1, 2, 5, 4], ['M', 10, 7, 8, 3, 6], ['M', 10, 9, 2, 5, 4], ['M', 7, 8, 3, 6, 1]]",197.85634322226406,"[10, 7, 8, 3, 6, 9, 1, 2, 5, 4]","[['M', 9, 1, 2, 5, 4], ['M', 10, 7, 8, 3, 6], ['M', 10, 9, 2, 5, 4], ['M', 7, 8, 3, 6, 1]]",197.85634322226406,"[10, 7, 8, 3, 6, 9, 1, 2, 5, 4]","[['M', 9, 1, 2, 5, 4], ['M', 10, 7, 8, 3, 6], ['M', 10, 9, 2, 5, 4], ['M', 7, 8, 3, 6, 1]]",294.108540058136
10,387.22771767146605,"[6, 4, 7, 8, 5, 9, 1, 3, 2, 10]","[['M', 7, 5, 1, 3, 2], ['M', 6, 4, 8, 9, 10], ['M', 6, 4, 7, 8, 9, 10], ['M', 5, 1, 3, 2]]",112.00684360495592,"[6, 4, 7, 8, 5, 9, 1, 3, 2, 10]","[['M', 7, 5, 1, 3, 2], ['M', 6, 4, 8, 9, 10], ['M', 6, 4, 7, 8, 9, 10], ['M', 5, 1, 3, 2]]",112.00684360495592,"[6, 4, 7, 8, 5, 9, 1, 3, 2, 10]","[['M', 7, 5, 1, 3, 2], ['M', 6, 4, 8, 9, 10], ['M', 6, 4, 7, 8, 9, 10], ['M', 5, 1, 3, 2]]",305.5896530151367
