Stage 1, Machine 1 and Machine 2, Swap 14 and 8, Objective Value 559.0617177693098 | not improved!
Stage 1, Machine 1 and Machine 2, Swap 12 and 8, Objective Value 570.7903397435733 | not improved!
Stage 1, Machine 1 and Machine 2, Swap 2 and 8, Objective Value 733.4374494541804 | not improved!
Stage 1, Machine 1 and Machine 2, Swap 6 and 8, Objective Value 777.6407869102482 | not improved!
Stage 1, Machine 1 and Machine 2, Swap 7 and 8, Objective Value 754.8943538497854 | not improved!
Stage 1, Machine 1 and Machine 2, Swap 1 and 8, Objective Value 747.1006099706692 | not improved!
Stage 1, Machine 1 and Machine 2, Swap 15 and 8, Objective Value 742.0756212456965 | not improved!
Stage 1, Machine 1 and Machine 2, Swap 14 and 13, Objective Value 496.2769076452455 | improved!
Stage 1, Machine 1 and Machine 2, Swap 12 and 14, Objective Value 505.98338582847265 | not improved!
Stage 1, Machine 1 and Machine 2, Swap 2 and 14, Objective Value 522.5866308221802 | not improved!
Stage 1, Machine 1 and Machine 2, Swap 6 and 14, Objective Value 553.6687460215157 | not improved!
Stage 1, Machine 1 and Machine 2, Swap 7 and 14, Objective Value 526.5127328226806 | not improved!
Stage 1, Machine 1 and Machine 2, Swap 1 and 14, Objective Value 530.6302391798466 | not improved!
Stage 1, Machine 1 and Machine 2, Swap 15 and 14, Objective Value 532.4357062828218 | not improved!
Stage 1, Machine 1 and Machine 2, Swap 13 and 10, Objective Value 569.4007813643668 | not improved!
Stage 1, Machine 1 and Machine 2, Swap 12 and 10, Objective Value 659.878158387668 | not improved!
Stage 1, Machine 1 and Machine 2, Swap 2 and 10, Objective Value 498.5152987347573 | not improved!
Stage 1, Machine 1 and Machine 2, Swap 6 and 10, Objective Value 520.6619324623248 | not improved!
Stage 1, Machine 1 and Machine 2, Swap 7 and 10, Objective Value 500.62881253994783 | not improved!
Stage 1, Machine 1 and Machine 2, Swap 1 and 10, Objective Value 522.278408519603 | not improved!
Stage 1, Machine 1 and Machine 2, Swap 15 and 10, Objective Value 527.4641967144798 | not improved!
Stage 1, Machine 1 and Machine 2, Swap 13 and 4, Objective Value 618.9806209598773 | not improved!
Stage 1, Machine 1 and Machine 2, Swap 12 and 4, Objective Value 710.2062971149184 | not improved!
Stage 1, Machine 1 and Machine 2, Swap 2 and 4, Objective Value 571.1532912571342 | not improved!
Stage 1, Machine 1 and Machine 2, Swap 6 and 4, Objective Value 492.40022300491046 | improved!
Stage 1, Machine 1 and Machine 2, Swap 7 and 6, Objective Value 573.6986650336236 | not improved!
Stage 1, Machine 1 and Machine 2, Swap 1 and 6, Objective Value 592.8631349906632 | not improved!
Stage 1, Machine 1 and Machine 2, Swap 15 and 6, Objective Value 596.9933898074589 | not improved!
Stage 1, Machine 1 and Machine 2, Swap 13 and 3, Objective Value 607.0518087959695 | not improved!
Stage 1, Machine 1 and Machine 2, Swap 12 and 3, Objective Value 702.0581925235722 | not improved!
Stage 1, Machine 1 and Machine 2, Swap 2 and 3, Objective Value 546.1346021008039 | not improved!
Stage 1, Machine 1 and Machine 2, Swap 4 and 3, Objective Value 576.697850127807 | not improved!
Stage 1, Machine 1 and Machine 2, Swap 7 and 3, Objective Value 495.06042621208877 | not improved!
Stage 1, Machine 1 and Machine 2, Swap 1 and 3, Objective Value 562.5646233798449 | not improved!
Stage 1, Machine 1 and Machine 2, Swap 15 and 3, Objective Value 570.6147221075685 | not improved!
Stage 1, Machine 1 and Machine 2, Swap 13 and 5, Objective Value 593.8973681663056 | not improved!
Stage 1, Machine 1 and Machine 2, Swap 12 and 5, Objective Value 691.1154743902687 | not improved!
Stage 1, Machine 1 and Machine 2, Swap 2 and 5, Objective Value 544.2451467183676 | not improved!
