Stage 1, Machine 1 and Machine 2, Swap 7 and 8, Objective Value 223.13443952859683 | not improved!
Stage 1, Machine 1 and Machine 2, Swap 1 and 8, Objective Value 225.03223480259047 | not improved!
Stage 1, Machine 1 and Machine 2, Swap 10 and 8, Objective Value 206.29254062918187 | not improved!
Stage 1, Machine 1 and Machine 2, Swap 2 and 8, Objective Value 249.34409942060336 | not improved!
Stage 1, Machine 1 and Machine 2, Swap 7 and 3, Objective Value 142.3960721340211 | not improved!
Stage 1, Machine 1 and Machine 2, Swap 1 and 3, Objective Value 221.64688383562077 | not improved!
Stage 1, Machine 1 and Machine 2, Swap 10 and 3, Objective Value 222.0356813744373 | not improved!
Stage 1, Machine 1 and Machine 2, Swap 2 and 3, Objective Value 255.48781565493647 | not improved!
Stage 1, Machine 1 and Machine 2, Swap 7 and 4, Objective Value 185.06166594809764 | not improved!
Stage 1, Machine 1 and Machine 2, Swap 1 and 4, Objective Value 157.8949830280294 | not improved!
Stage 1, Machine 1 and Machine 2, Swap 10 and 4, Objective Value 129.22635288047556 | not improved!
Stage 1, Machine 1 and Machine 2, Swap 2 and 4, Objective Value 145.32454707047762 | not improved!
Stage 1, Machine 1 and Machine 2, Swap 7 and 6, Objective Value 160.24451118917358 | not improved!
Stage 1, Machine 1 and Machine 2, Swap 1 and 6, Objective Value 131.1043319850227 | not improved!
Stage 1, Machine 1 and Machine 2, Swap 10 and 6, Objective Value 178.47913567856892 | not improved!
Stage 1, Machine 1 and Machine 2, Swap 2 and 6, Objective Value 178.47913567856892 | not improved!
Stage 1, Machine 1 and Machine 2, Swap 7 and 5, Objective Value 192.46013453644912 | not improved!
Stage 1, Machine 1 and Machine 2, Swap 1 and 5, Objective Value 151.37077182545895 | not improved!
Stage 1, Machine 1 and Machine 2, Swap 10 and 5, Objective Value 125.27134871103266 | not improved!
Stage 1, Machine 1 and Machine 2, Swap 2 and 5, Objective Value 140.1435863113371 | not improved!
Stage 1, Machine 1 and Machine 2, Swap 7 and 9, Objective Value 205.31472644080597 | not improved!
Stage 1, Machine 1 and Machine 2, Swap 1 and 9, Objective Value 178.1480435207378 | not improved!
Stage 1, Machine 1 and Machine 2, Swap 10 and 9, Objective Value 134.48626518639594 | not improved!
Stage 1, Machine 1 and Machine 2, Swap 2 and 9, Objective Value 125.27134871103266 | not improved!
Stage 2, Machine 1 and Machine 2, Swap 8 and 3, Objective Value 143.09766788721012 | not improved!
Stage 2, Machine 1 and Machine 2, Swap 7 and 3, Objective Value 127.07952818778875 | not improved!
Stage 2, Machine 1 and Machine 2, Swap 4 and 3, Objective Value 151.1164567093193 | not improved!
Stage 2, Machine 1 and Machine 2, Swap 1 and 3, Objective Value 161.53954345577284 | not improved!
Stage 2, Machine 1 and Machine 2, Swap 5 and 3, Objective Value 179.8017702291436 | not improved!
Stage 2, Machine 1 and Machine 2, Swap 9 and 3, Objective Value 172.52596641064457 | not improved!
Stage 2, Machine 1 and Machine 2, Swap 8 and 6, Objective Value 141.6443656531076 | not improved!
Stage 2, Machine 1 and Machine 2, Swap 7 and 6, Objective Value 152.55329651641952 | not improved!
Stage 2, Machine 1 and Machine 2, Swap 4 and 6, Objective Value 141.6443656531076 | not improved!
Stage 2, Machine 1 and Machine 2, Swap 1 and 6, Objective Value 127.89272084064778 | not improved!
Stage 2, Machine 1 and Machine 2, Swap 5 and 6, Objective Value 162.22297788945693 | not improved!
Stage 2, Machine 1 and Machine 2, Swap 9 and 6, Objective Value 153.63642652259776 | not improved!
Stage 2, Machine 1 and Machine 2, Swap 8 and 10, Objective Value 152.72335558282373 | not improved!
Stage 2, Machine 1 and Machine 2, Swap 7 and 10, Objective Value 165.4971794357579 | not improved!
Stage 2, Machine 1 and Machine 2, Swap 4 and 10, Objective Value 150.74374039377864 | not improved!
Stage 2, Machine 1 and Machine 2, Swap 1 and 10, Objective Value 157.7013864806068 | not improved!
Stage 2, Machine 1 and Machine 2, Swap 5 and 10, Objective Value 131.113407002549 | not improved!
Stage 2, Machine 1 and Machine 2, Swap 9 and 10, Objective Value 135.032879797488 | not improved!
Stage 2, Machine 1 and Machine 2, Swap 8 and 2, Objective Value 132.30591788061054 | not improved!
Stage 2, Machine 1 and Machine 2, Swap 7 and 2, Objective Value 146.882253198284 | not improved!
Stage 2, Machine 1 and Machine 2, Swap 4 and 2, Objective Value 128.05291436085432 | not improved!
Stage 2, Machine 1 and Machine 2, Swap 1 and 2, Objective Value 135.88203547105522 | not improved!
Stage 2, Machine 1 and Machine 2, Swap 5 and 2, Objective Value 139.80448297949835 | not improved!
Stage 2, Machine 1 and Machine 2, Swap 9 and 2, Objective Value 126.44298172933124 | not improved!
